p,v,cp,rcp,a,ba,sa,hl,pcp,t
72400.0,31200,-1700.0,0.0,,128500.0,287900.0,False,-500.0,14:45:02
72900.0,100,-1200.0,0.0,BU,128500.0,287900.0,False,0.0,14:29:52
72900.0,200,-1200.0,0.0,BU,128400.0,287900.0,False,200.0,14:29:52
72700.0,100,-1400.0,0.0,SD,128200.0,287900.0,False,0.0,14:29:33
72700.0,300,-1400.0,0.0,SD,128200.0,287800.0,False,0.0,14:29:30
72700.0,200,-1400.0,0.0,SD,128200.0,287500.0,False,0.0,14:29:09
72700.0,100,-1400.0,0.0,SD,128200.0,287300.0,False,0.0,14:29:08
72700.0,100,-1400.0,0.0,SD,128200.0,287200.0,False,0.0,14:29:08
72700.0,300,-1400.0,0.0,SD,128200.0,287100.0,False,-200.0,14:28:04
72900.0,100,-1200.0,0.0,BU,128200.0,286800.0,False,0.0,14:27:47
72900.0,100,-1200.0,0.0,BU,128100.0,286800.0,False,200.0,14:27:47
72700.0,100,-1400.0,0.0,SD,128000.0,286800.0,False,100.0,14:27:40
72600.0,100,-1500.0,0.0,SD,128000.0,286700.0,False,0.0,14:27:17
72600.0,100,-1500.0,0.0,SD,128000.0,286600.0,False,0.0,14:26:57
72600.0,200,-1500.0,0.0,SD,128000.0,286500.0,False,0.0,14:26:41
72600.0,300,-1500.0,0.0,SD,128000.0,286300.0,False,0.0,14:26:38
72600.0,100,-1500.0,0.0,SD,128000.0,286000.0,False,0.0,14:26:36
72600.0,100,-1500.0,0.0,SD,128000.0,285900.0,False,-100.0,14:26:15
72700.0,200,-1400.0,0.0,SD,128000.0,285800.0,False,0.0,14:26:09
72700.0,300,-1400.0,0.0,SD,128000.0,285600.0,False,0.0,14:25:40
72700.0,100,-1400.0,0.0,SD,128000.0,285300.0,False,0.0,14:25:35
72700.0,100,-1400.0,0.0,SD,128000.0,285200.0,False,0.0,14:25:30
72700.0,300,-1400.0,0.0,SD,128000.0,285100.0,False,200.0,14:25:12
72500.0,100,-1600.0,0.0,SD,128000.0,284800.0,False,0.0,14:24:54
72500.0,300,-1600.0,0.0,SD,128000.0,284700.0,False,0.0,14:24:54
72500.0,500,-1600.0,0.0,SD,128000.0,284400.0,False,0.0,14:24:54
72500.0,100,-1600.0,0.0,SD,128000.0,283900.0,False,0.0,14:24:54
72500.0,100,-1600.0,0.0,SD,128000.0,283800.0,False,-100.0,14:24:54
72600.0,100,-1500.0,0.0,SD,128000.0,283700.0,False,0.0,14:24:54
72600.0,800,-1500.0,0.0,SD,128000.0,283600.0,False,0.0,14:24:54
72600.0,200,-1500.0,0.0,BU,128000.0,282800.0,False,100.0,14:24:45
72500.0,100,-1600.0,0.0,SD,127800.0,282800.0,False,0.0,14:24:36
72500.0,100,-1600.0,0.0,SD,127800.0,282700.0,False,-100.0,14:24:36
72600.0,300,-1500.0,0.0,SD,127800.0,282600.0,False,100.0,14:24:36
72500.0,1000,-1600.0,0.0,SD,127800.0,282300.0,False,0.0,14:23:53
72500.0,500,-1600.0,0.0,SD,127800.0,281300.0,False,0.0,14:23:46
72500.0,300,-1600.0,0.0,SD,127800.0,280800.0,False,0.0,14:23:46
72500.0,2300,-1600.0,0.0,SD,127800.0,280500.0,False,-100.0,14:23:40
72600.0,800,-1500.0,0.0,BU,127800.0,278200.0,False,0.0,14:23:40
72600.0,400,-1500.0,0.0,BU,127000.0,278200.0,False,0.0,14:23:40
72600.0,500,-1500.0,0.0,BU,126600.0,278200.0,False,0.0,14:23:40
72600.0,100,-1500.0,0.0,SD,126100.0,278200.0,False,100.0,14:23:26
72500.0,200,-1600.0,0.0,SD,126100.0,278100.0,False,0.0,14:23:13
72500.0,200,-1600.0,0.0,SD,126100.0,277900.0,False,0.0,14:23:08
72500.0,500,-1600.0,0.0,SD,126100.0,277700.0,False,0.0,14:23:08
72500.0,100,-1600.0,0.0,SD,126100.0,277200.0,False,0.0,14:23:08
72500.0,200,-1600.0,0.0,SD,126100.0,277100.0,False,-100.0,14:23:01
72600.0,500,-1500.0,0.0,SD,126100.0,276900.0,False,100.0,14:22:58
72500.0,200,-1600.0,0.0,SD,126100.0,276400.0,False,0.0,14:22:55
72500.0,500,-1600.0,0.0,SD,126100.0,276200.0,False,0.0,14:22:54
72500.0,500,-1600.0,0.0,SD,126100.0,275700.0,False,0.0,14:22:54
72500.0,200,-1600.0,0.0,SD,126100.0,275200.0,False,0.0,14:22:54
72500.0,200,-1600.0,0.0,SD,126100.0,275000.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,274800.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,274700.0,False,0.0,14:22:54
72500.0,200,-1600.0,0.0,SD,126100.0,274600.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,274400.0,False,0.0,14:22:54
72500.0,1000,-1600.0,0.0,SD,126100.0,274300.0,False,0.0,14:22:54
72500.0,200,-1600.0,0.0,SD,126100.0,273300.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,273100.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,273000.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,272900.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,272800.0,False,0.0,14:22:54
72500.0,500,-1600.0,0.0,SD,126100.0,272700.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,272200.0,False,0.0,14:22:54
72500.0,100,-1600.0,0.0,SD,126100.0,272100.0,False,-100.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,272000.0,False,0.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,271900.0,False,0.0,14:22:54
72600.0,200,-1500.0,0.0,SD,126100.0,271800.0,False,0.0,14:22:54
72600.0,200,-1500.0,0.0,SD,126100.0,271600.0,False,0.0,14:22:54
72600.0,300,-1500.0,0.0,SD,126100.0,271400.0,False,0.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,271100.0,False,0.0,14:22:54
72600.0,1000,-1500.0,0.0,SD,126100.0,271000.0,False,0.0,14:22:54
72600.0,200,-1500.0,0.0,SD,126100.0,270000.0,False,0.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,269800.0,False,0.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,269700.0,False,0.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,269600.0,False,0.0,14:22:54
72600.0,200,-1500.0,0.0,SD,126100.0,269500.0,False,0.0,14:22:54
72600.0,1000,-1500.0,0.0,SD,126100.0,269300.0,False,0.0,14:22:54
72600.0,100,-1500.0,0.0,SD,126100.0,268300.0,False,-100.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,268200.0,False,0.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,268100.0,False,0.0,14:22:54
72700.0,1000,-1400.0,0.0,SD,126100.0,268000.0,False,0.0,14:22:54
72700.0,300,-1400.0,0.0,SD,126100.0,267000.0,False,0.0,14:22:54
72700.0,200,-1400.0,0.0,SD,126100.0,266700.0,False,0.0,14:22:54
72700.0,800,-1400.0,0.0,SD,126100.0,266500.0,False,0.0,14:22:54
72700.0,200,-1400.0,0.0,SD,126100.0,265700.0,False,0.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,265500.0,False,0.0,14:22:54
72700.0,300,-1400.0,0.0,SD,126100.0,265400.0,False,0.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,265100.0,False,0.0,14:22:54
72700.0,200,-1400.0,0.0,SD,126100.0,265000.0,False,0.0,14:22:54
72700.0,2000,-1400.0,0.0,SD,126100.0,264800.0,False,0.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,262800.0,False,0.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,262700.0,False,0.0,14:22:54
72700.0,4100,-1400.0,0.0,SD,126100.0,262600.0,True,0.0,14:22:54
72700.0,100,-1400.0,0.0,SD,126100.0,258500.0,False,-100.0,14:22:54
72800.0,5000,-1300.0,0.0,SD,126100.0,258400.0,True,0.0,14:22:54
72800.0,800,-1300.0,0.0,SD,126100.0,253400.0,False,0.0,14:22:54
72800.0,200,-1300.0,0.0,SD,126100.0,252600.0,False,0.0,14:22:49
72800.0,300,-1300.0,0.0,SD,126100.0,252400.0,False,0.0,14:22:49
72800.0,200,-1300.0,0.0,SD,126100.0,252100.0,False,-200.0,14:22:48
73000.0,100,-1100.0,0.0,BU,126100.0,251900.0,False,0.0,14:22:40
73000.0,100,-1100.0,0.0,BU,126000.0,251900.0,False,0.0,14:22:40
73000.0,500,-1100.0,0.0,BU,125900.0,251900.0,False,0.0,14:22:40
73000.0,100,-1100.0,0.0,BU,125400.0,251900.0,False,0.0,14:22:40
73000.0,100,-1100.0,0.0,BU,125300.0,251900.0,False,0.0,14:22:40
73000.0,1000,-1100.0,0.0,BU,125200.0,251900.0,False,0.0,14:22:40
73000.0,3500,-1100.0,0.0,BU,124200.0,251900.0,True,0.0,14:22:40
73000.0,500,-1100.0,0.0,SD,120700.0,251900.0,False,0.0,14:22:39
73000.0,400,-1100.0,0.0,SD,120700.0,251400.0,False,0.0,14:22:33
73000.0,600,-1100.0,0.0,SD,120700.0,251000.0,False,0.0,14:22:31
73000.0,300,-1100.0,0.0,SD,120700.0,250400.0,False,0.0,14:22:20
73000.0,200,-1100.0,0.0,SD,120700.0,250100.0,False,0.0,14:22:09
73000.0,1800,-1100.0,0.0,SD,120700.0,249900.0,False,0.0,14:22:08
73000.0,200,-1100.0,0.0,BU,120700.0,248100.0,False,0.0,14:21:57
73000.0,1000,-1100.0,0.0,BU,120500.0,248100.0,False,0.0,14:21:57
73000.0,200,-1100.0,0.0,BU,119500.0,248100.0,False,0.0,14:21:57
73000.0,200,-1100.0,0.0,BU,119300.0,248100.0,False,0.0,14:21:57
73000.0,1800,-1100.0,0.0,BU,119100.0,248100.0,False,0.0,14:21:57
73000.0,3600,-1100.0,0.0,BU,117300.0,248100.0,True,300.0,14:21:57
72700.0,100,-1400.0,0.0,SD,113700.0,248100.0,False,0.0,14:21:09
72700.0,300,-1400.0,0.0,SD,113700.0,248000.0,False,-100.0,14:21:09
72800.0,300,-1300.0,0.0,BU,113700.0,247700.0,False,-100.0,14:20:54
72900.0,200,-1200.0,0.0,SD,113400.0,247700.0,False,0.0,14:20:52
72900.0,200,-1200.0,0.0,BU,113400.0,247500.0,False,0.0,14:20:49
72900.0,1900,-1200.0,0.0,BU,113200.0,247500.0,False,100.0,14:20:49
72800.0,100,-1300.0,0.0,BU,111300.0,247500.0,False,0.0,14:20:35
72800.0,100,-1300.0,0.0,SD,111200.0,247500.0,False,0.0,14:20:28
72800.0,200,-1300.0,0.0,SD,111200.0,247400.0,False,100.0,14:20:24
72700.0,100,-1400.0,0.0,SD,111200.0,247200.0,False,0.0,14:20:17
72700.0,200,-1400.0,0.0,SD,111200.0,247100.0,False,0.0,14:20:12
72700.0,200,-1400.0,0.0,SD,111200.0,246900.0,False,-100.0,14:20:06
72800.0,100,-1300.0,0.0,BU,111200.0,246700.0,False,0.0,14:20:06
72800.0,100,-1300.0,0.0,BU,111100.0,246700.0,False,0.0,14:20:06
72800.0,200,-1300.0,0.0,BU,111000.0,246700.0,False,-100.0,14:20:06
72900.0,100,-1200.0,0.0,BU,110800.0,246700.0,False,-100.0,14:20:02
73000.0,1000,-1100.0,0.0,SD,110700.0,246700.0,False,0.0,14:19:31
73000.0,400,-1100.0,0.0,SD,110700.0,245700.0,False,0.0,14:19:31
73000.0,300,-1100.0,0.0,SD,110700.0,245300.0,False,0.0,14:19:27
73000.0,300,-1100.0,0.0,SD,110700.0,245000.0,False,0.0,14:19:25
73000.0,1100,-1100.0,0.0,SD,110700.0,244700.0,False,0.0,14:19:25
73000.0,200,-1100.0,0.0,SD,110700.0,243600.0,False,0.0,14:19:13
73000.0,2700,-1100.0,0.0,SD,110700.0,243400.0,False,0.0,14:19:13
73000.0,600,-1100.0,0.0,BU,110700.0,240700.0,False,100.0,14:19:10
72900.0,400,-1200.0,0.0,BU,110100.0,240700.0,False,0.0,14:19:10
72900.0,100,-1200.0,0.0,SD,109700.0,240700.0,False,0.0,14:19:09
72900.0,500,-1200.0,0.0,SD,109700.0,240600.0,False,0.0,14:19:09
72900.0,1000,-1200.0,0.0,SD,109700.0,240100.0,False,-100.0,14:19:09
73000.0,200,-1100.0,0.0,BU,109700.0,239100.0,False,100.0,14:19:07
72900.0,100,-1200.0,0.0,SD,109500.0,239100.0,False,0.0,14:19:00
72900.0,1900,-1200.0,0.0,SD,109500.0,239000.0,False,-100.0,14:19:00
73000.0,300,-1100.0,0.0,BU,109500.0,237100.0,False,0.0,14:18:58
73000.0,1000,-1100.0,0.0,SD,109200.0,237100.0,False,0.0,14:18:42
73000.0,700,-1100.0,0.0,SD,109200.0,236100.0,False,0.0,14:18:42
73000.0,300,-1100.0,0.0,SD,109200.0,235400.0,False,0.0,14:18:01
73000.0,100,-1100.0,0.0,SD,109200.0,235100.0,False,0.0,14:17:56
73000.0,100,-1100.0,0.0,BU,109200.0,235000.0,False,0.0,14:17:40
73000.0,100,-1100.0,0.0,BU,109100.0,235000.0,False,0.0,14:17:34
73000.0,600,-1100.0,0.0,BU,109000.0,235000.0,False,0.0,14:17:34
73000.0,400,-1100.0,0.0,BU,108400.0,235000.0,False,0.0,14:17:28
73000.0,800,-1100.0,0.0,BU,108000.0,235000.0,False,0.0,14:17:19
73000.0,200,-1100.0,0.0,BU,107200.0,235000.0,False,0.0,14:17:16
73000.0,300,-1100.0,0.0,SD,107000.0,235000.0,False,0.0,14:16:56
73000.0,700,-1100.0,0.0,SD,107000.0,234700.0,False,0.0,14:16:56
73000.0,300,-1100.0,0.0,SD,107000.0,234000.0,False,100.0,14:16:35
72900.0,100,-1200.0,0.0,SD,107000.0,233700.0,False,100.0,14:15:35
72800.0,300,-1300.0,0.0,SD,107000.0,233600.0,False,-100.0,14:15:09
72900.0,400,-1200.0,0.0,BU,107000.0,233300.0,False,0.0,14:15:02
72900.0,200,-1200.0,0.0,BU,106600.0,233300.0,False,100.0,14:14:59
72800.0,1000,-1300.0,0.0,SD,106400.0,233300.0,False,0.0,14:14:52
72800.0,500,-1300.0,0.0,SD,106400.0,232300.0,False,0.0,14:14:52
72800.0,100,-1300.0,0.0,BU,106400.0,231800.0,False,0.0,14:14:49
72800.0,200,-1300.0,0.0,BU,106300.0,231800.0,False,0.0,14:14:48
72800.0,200,-1300.0,0.0,BU,106100.0,231800.0,False,0.0,14:14:45
72800.0,800,-1300.0,0.0,BU,105900.0,231800.0,False,0.0,14:14:45
72800.0,100,-1300.0,0.0,BU,105100.0,231800.0,False,0.0,14:14:45
72800.0,400,-1300.0,0.0,BU,105000.0,231800.0,False,0.0,14:14:42
72800.0,200,-1300.0,0.0,BU,104600.0,231800.0,False,100.0,14:14:40
72700.0,200,-1400.0,0.0,SD,104400.0,231800.0,False,0.0,14:14:22
72700.0,200,-1400.0,0.0,BU,104400.0,231600.0,False,0.0,14:14:20
72700.0,100,-1400.0,0.0,BU,104200.0,231600.0,False,0.0,14:14:17
72700.0,500,-1400.0,0.0,BU,104100.0,231600.0,False,0.0,14:14:17
72700.0,200,-1400.0,0.0,BU,103600.0,231600.0,False,0.0,14:14:11
72700.0,100,-1400.0,0.0,BU,103400.0,231600.0,False,0.0,14:14:07
72700.0,700,-1400.0,0.0,BU,103300.0,231600.0,False,0.0,14:14:07
72700.0,100,-1400.0,0.0,BU,102600.0,231600.0,False,0.0,14:14:07
72700.0,200,-1400.0,0.0,BU,102500.0,231600.0,False,0.0,14:14:07
72700.0,100,-1400.0,0.0,BU,102300.0,231600.0,False,0.0,14:14:05
72700.0,100,-1400.0,0.0,BU,102200.0,231600.0,False,0.0,14:14:04
72700.0,100,-1400.0,0.0,BU,102100.0,231600.0,False,0.0,14:13:55
72700.0,100,-1400.0,0.0,BU,102000.0,231600.0,False,0.0,14:13:55
72700.0,100,-1400.0,0.0,BU,101900.0,231600.0,False,0.0,14:13:52
72700.0,100,-1400.0,0.0,BU,101800.0,231600.0,False,100.0,14:13:49
72600.0,300,-1500.0,0.0,SD,101700.0,231600.0,False,-100.0,14:13:43
72700.0,100,-1400.0,0.0,BU,101700.0,231300.0,False,100.0,14:13:23
72600.0,100,-1500.0,0.0,SD,101600.0,231300.0,False,-100.0,14:13:22
72700.0,200,-1400.0,0.0,BU,101600.0,231200.0,False,0.0,14:13:09
72700.0,500,-1400.0,0.0,BU,101400.0,231200.0,False,0.0,14:13:09
72700.0,400,-1400.0,0.0,BU,100900.0,231200.0,False,-100.0,14:13:09
72800.0,200,-1300.0,0.0,BU,100500.0,231200.0,False,0.0,14:13:08
72800.0,200,-1300.0,0.0,BU,100300.0,231200.0,False,100.0,14:12:59
72700.0,200,-1400.0,0.0,SD,100100.0,231200.0,False,0.0,14:12:17
72700.0,100,-1400.0,0.0,SD,100100.0,231000.0,False,-100.0,14:12:17
72800.0,100,-1300.0,0.0,BU,100100.0,230900.0,False,0.0,14:11:25
72800.0,100,-1300.0,0.0,BU,100000.0,230900.0,False,100.0,14:11:25
72700.0,100,-1400.0,0.0,SD,99900.0,230900.0,False,0.0,14:10:52
72700.0,100,-1400.0,0.0,SD,99900.0,230800.0,False,-100.0,14:10:51
72800.0,200,-1300.0,0.0,SD,99900.0,230700.0,False,100.0,14:10:51
72700.0,100,-1400.0,0.0,BU,99900.0,230500.0,False,100.0,14:09:29
72600.0,200,-1500.0,0.0,SD,99800.0,230500.0,False,0.0,14:09:25
72600.0,100,-1500.0,0.0,SD,99800.0,230300.0,False,-100.0,14:09:25
72700.0,100,-1400.0,0.0,BU,99800.0,230200.0,False,0.0,14:09:23
72700.0,300,-1400.0,0.0,BU,99700.0,230200.0,False,0.0,14:09:23
72700.0,500,-1400.0,0.0,BU,99400.0,230200.0,False,0.0,14:09:23
72700.0,200,-1400.0,0.0,BU,98900.0,230200.0,False,0.0,14:09:23
72700.0,300,-1400.0,0.0,BU,98700.0,230200.0,False,0.0,14:09:23
72700.0,200,-1400.0,0.0,SD,98400.0,230200.0,False,-100.0,14:08:57
72800.0,100,-1300.0,0.0,BU,98400.0,230000.0,False,0.0,14:08:54
72800.0,200,-1300.0,0.0,SD,98300.0,230000.0,False,0.0,14:08:51
72800.0,100,-1300.0,0.0,SD,98300.0,229800.0,False,0.0,14:08:50
72800.0,100,-1300.0,0.0,SD,98300.0,229700.0,False,0.0,14:08:44
72800.0,100,-1300.0,0.0,SD,98300.0,229600.0,False,0.0,14:08:44
72800.0,100,-1300.0,0.0,SD,98300.0,229500.0,False,-100.0,14:08:44
72900.0,100,-1200.0,0.0,BU,98300.0,229400.0,False,0.0,14:08:44
72900.0,100,-1200.0,0.0,BU,98200.0,229400.0,False,0.0,14:08:44
72900.0,100,-1200.0,0.0,SD,98100.0,229400.0,False,0.0,14:08:37
72900.0,100,-1200.0,0.0,SD,98100.0,229300.0,False,0.0,14:08:37
72900.0,100,-1200.0,0.0,SD,98100.0,229200.0,False,0.0,14:08:31
72900.0,100,-1200.0,0.0,SD,98100.0,229100.0,False,0.0,14:08:27
72900.0,100,-1200.0,0.0,SD,98100.0,229000.0,False,0.0,14:08:24
72900.0,100,-1200.0,0.0,SD,98100.0,228900.0,False,0.0,14:08:20
72900.0,200,-1200.0,0.0,SD,98100.0,228800.0,False,0.0,14:07:59
72900.0,100,-1200.0,0.0,SD,98100.0,228600.0,False,0.0,14:07:59
72900.0,100,-1200.0,0.0,SD,98100.0,228500.0,False,0.0,14:06:33
72900.0,200,-1200.0,0.0,SD,98100.0,228400.0,False,0.0,14:06:33
72900.0,100,-1200.0,0.0,SD,98100.0,228200.0,False,0.0,14:06:10
72900.0,1000,-1200.0,0.0,SD,98100.0,228100.0,False,0.0,14:05:53
72900.0,100,-1200.0,0.0,SD,98100.0,227100.0,False,0.0,14:05:15
72900.0,300,-1200.0,0.0,SD,98100.0,227000.0,False,0.0,14:05:07
72900.0,200,-1200.0,0.0,SD,98100.0,226700.0,False,0.0,14:04:50
72900.0,200,-1200.0,0.0,SD,98100.0,226500.0,False,0.0,14:04:41
72900.0,200,-1200.0,0.0,SD,98100.0,226300.0,False,-100.0,14:04:26
73000.0,100,-1100.0,0.0,BU,98100.0,226100.0,False,0.0,14:04:21
73000.0,300,-1100.0,0.0,SD,98000.0,226100.0,False,0.0,14:03:53
73000.0,200,-1100.0,0.0,SD,98000.0,225800.0,False,0.0,14:03:53
73000.0,100,-1100.0,0.0,SD,98000.0,225600.0,False,0.0,14:03:53
73000.0,200,-1100.0,0.0,SD,98000.0,225500.0,False,0.0,14:03:53
73000.0,100,-1100.0,0.0,SD,98000.0,225300.0,False,-100.0,14:03:53
73100.0,100,-1000.0,0.0,SD,98000.0,225200.0,False,100.0,14:03:53
73000.0,100,-1100.0,0.0,SD,98000.0,225100.0,False,0.0,14:03:48
73000.0,300,-1100.0,0.0,SD,98000.0,225000.0,False,-100.0,14:03:41
73100.0,100,-1000.0,0.0,BU,98000.0,224700.0,False,0.0,14:03:20
73100.0,100,-1000.0,0.0,BU,97900.0,224700.0,False,100.0,14:03:11
73000.0,600,-1100.0,0.0,SD,97800.0,224700.0,False,-100.0,14:02:53
73100.0,300,-1000.0,0.0,SD,97800.0,224100.0,False,-100.0,14:02:14
73200.0,200,-900.0,0.0,BU,97800.0,223800.0,False,200.0,14:01:37
73000.0,200,-1100.0,0.0,SD,97600.0,223800.0,False,0.0,14:01:32
73000.0,100,-1100.0,0.0,SD,97600.0,223600.0,False,0.0,14:01:27
73000.0,100,-1100.0,0.0,SD,97600.0,223500.0,False,0.0,14:00:48
73000.0,200,-1100.0,0.0,SD,97600.0,223400.0,False,-300.0,14:00:48
73300.0,200,-800.0,0.0,BU,97600.0,223200.0,False,0.0,14:00:39
73300.0,500,-800.0,0.0,BU,97400.0,223200.0,False,300.0,13:59:48
73000.0,200,-1100.0,0.0,SD,96900.0,223200.0,False,0.0,13:59:48
73000.0,300,-1100.0,0.0,SD,96900.0,223000.0,False,0.0,13:59:48
73000.0,100,-1100.0,0.0,SD,96900.0,222700.0,False,0.0,13:59:48
73000.0,1000,-1100.0,0.0,SD,96900.0,222600.0,False,0.0,13:59:48
73000.0,300,-1100.0,0.0,SD,96900.0,221600.0,False,-100.0,13:59:48
73100.0,100,-1000.0,0.0,SD,96900.0,221300.0,False,-200.0,13:59:48
73300.0,1300,-800.0,0.0,BU,96900.0,221200.0,False,0.0,13:59:28
73300.0,100,-800.0,0.0,BU,95600.0,221200.0,False,0.0,13:59:26
73300.0,2600,-800.0,0.0,BU,95500.0,221200.0,False,0.0,13:59:26
73300.0,300,-800.0,0.0,SD,92900.0,221200.0,False,-200.0,13:59:22
73500.0,200,-600.0,0.0,BU,92900.0,220900.0,False,0.0,13:58:32
73500.0,600,-600.0,0.0,SD,92700.0,220900.0,False,0.0,13:57:59
73500.0,500,-600.0,0.0,SD,92700.0,220300.0,False,0.0,13:57:59
73500.0,400,-600.0,0.0,SD,92700.0,219800.0,False,0.0,13:57:59
73500.0,300,-600.0,0.0,SD,92700.0,219400.0,False,0.0,13:57:56
73500.0,200,-600.0,0.0,SD,92700.0,219100.0,False,0.0,13:57:32
73500.0,800,-600.0,0.0,SD,92700.0,218900.0,False,0.0,13:57:32
73500.0,100,-600.0,0.0,SD,92700.0,218100.0,False,0.0,13:57:18
73500.0,1000,-600.0,0.0,SD,92700.0,218000.0,False,-200.0,13:57:12
73700.0,100,-400.0,0.0,BU,92700.0,217000.0,False,200.0,13:56:44
73500.0,300,-600.0,0.0,SD,92600.0,217000.0,False,0.0,13:56:30
73500.0,2000,-600.0,0.0,BU,92600.0,216700.0,False,0.0,13:56:24
73500.0,800,-600.0,0.0,BU,90600.0,216700.0,False,200.0,13:56:24
73300.0,2000,-800.0,0.0,SD,89800.0,216700.0,False,0.0,13:55:50
73300.0,1300,-800.0,0.0,BU,89800.0,214700.0,False,0.0,13:55:34
73300.0,900,-800.0,0.0,BU,88500.0,214700.0,False,100.0,13:55:34
73200.0,1400,-900.0,0.0,BU,87600.0,214700.0,False,0.0,13:55:34
73200.0,1500,-900.0,0.0,BU,86200.0,214700.0,False,0.0,13:55:34
73200.0,300,-900.0,0.0,BU,84700.0,214700.0,False,200.0,13:55:11
73000.0,300,-1100.0,0.0,SD,84400.0,214700.0,False,-200.0,13:55:04
73200.0,300,-900.0,0.0,BU,84400.0,214400.0,False,0.0,13:54:43
73200.0,100,-900.0,0.0,BU,84100.0,214400.0,False,0.0,13:54:43
73200.0,1400,-900.0,0.0,BU,84000.0,214400.0,False,200.0,13:54:43
73000.0,2000,-1100.0,0.0,BU,82600.0,214400.0,False,0.0,13:54:43
73000.0,400,-1100.0,0.0,BU,80600.0,214400.0,False,0.0,13:54:43
73000.0,400,-1100.0,0.0,BU,80200.0,214400.0,False,0.0,13:54:43
73000.0,900,-1100.0,0.0,BU,79800.0,214400.0,False,0.0,13:54:43
73000.0,100,-1100.0,0.0,BU,78900.0,214400.0,False,0.0,13:54:43
73000.0,1800,-1100.0,0.0,BU,78800.0,214400.0,False,0.0,13:54:43
73000.0,100,-1100.0,0.0,BU,77000.0,214400.0,False,0.0,13:54:43
73000.0,100,-1100.0,0.0,BU,76900.0,214400.0,False,0.0,13:54:43
73000.0,2300,-1100.0,0.0,BU,76800.0,214400.0,False,0.0,13:54:43
73000.0,100,-1100.0,0.0,BU,74500.0,214400.0,False,0.0,13:54:43
73000.0,200,-1100.0,0.0,BU,74400.0,214400.0,False,100.0,13:54:33
72900.0,100,-1200.0,0.0,BU,74200.0,214400.0,False,0.0,13:54:28
72900.0,100,-1200.0,0.0,BU,74100.0,214400.0,False,0.0,13:54:28
72900.0,2000,-1200.0,0.0,BU,74000.0,214400.0,False,0.0,13:54:28
72900.0,200,-1200.0,0.0,BU,72000.0,214400.0,False,0.0,13:54:15
72900.0,200,-1200.0,0.0,BU,71800.0,214400.0,False,300.0,13:54:05
72600.0,100,-1500.0,0.0,SD,71600.0,214400.0,False,-100.0,13:53:38
72700.0,100,-1400.0,0.0,SD,71600.0,214300.0,False,0.0,13:53:38
72700.0,100,-1400.0,0.0,SD,71600.0,214200.0,False,0.0,13:53:38
72700.0,100,-1400.0,0.0,BU,71600.0,214100.0,False,0.0,13:53:16
72700.0,100,-1400.0,0.0,SD,71500.0,214100.0,False,-200.0,13:53:13
72900.0,200,-1200.0,0.0,BU,71500.0,214000.0,False,0.0,13:53:05
72900.0,200,-1200.0,0.0,BU,71300.0,214000.0,False,0.0,13:52:58
72900.0,200,-1200.0,0.0,BU,71100.0,214000.0,False,300.0,13:52:51
72600.0,300,-1500.0,0.0,SD,70900.0,214000.0,False,0.0,13:52:12
72600.0,100,-1500.0,0.0,SD,70900.0,213700.0,False,0.0,13:52:02
72600.0,300,-1500.0,0.0,SD,70900.0,213600.0,False,0.0,13:50:46
72600.0,1700,-1500.0,0.0,BU,70900.0,213300.0,False,100.0,13:50:33
72500.0,100,-1600.0,0.0,SD,69200.0,213300.0,False,-100.0,13:50:23
72600.0,100,-1500.0,0.0,BU,69200.0,213200.0,False,100.0,13:50:02
72500.0,100,-1600.0,0.0,SD,69100.0,213200.0,False,0.0,13:49:41
72500.0,200,-1600.0,0.0,SD,69100.0,213100.0,False,0.0,13:49:20
72500.0,100,-1600.0,0.0,SD,69100.0,212900.0,False,-100.0,13:49:20
72600.0,100,-1500.0,0.0,BU,69100.0,212800.0,False,0.0,13:48:56
72600.0,100,-1500.0,0.0,BU,69000.0,212800.0,False,0.0,13:48:40
72600.0,600,-1500.0,0.0,SD,68900.0,212800.0,False,0.0,13:48:17
