p,v,cp,rcp,a,ba,sa,hl,pcp,t
13400.0,3600,-300.0,0.0,SD,47500.0,45000.0,False,-100.0,14:12:32
13500.0,700,-200.0,0.0,SD,47500.0,41400.0,False,0.0,14:11:38
13500.0,1200,-200.0,0.0,SD,47500.0,40700.0,False,0.0,14:09:14
13500.0,4900,-200.0,0.0,SD,47500.0,39500.0,False,0.0,14:07:30
13400.0,4800,-300.0,0.0,BU,47300.0,34600.0,False,-100.0,13:59:01
13500.0,100,-200.0,0.0,BU,42500.0,34600.0,False,100.0,13:54:38
13400.0,200,-300.0,0.0,SD,42400.0,34600.0,False,0.0,13:51:27
13400.0,11500,-300.0,0.0,SD,42400.0,34400.0,False,0.0,13:51:10
13400.0,2700,-300.0,0.0,SD,42400.0,22900.0,False,-100.0,13:47:58
13500.0,6400,-200.0,0.0,BU,42400.0,20200.0,False,0.0,13:41:49
13500.0,600,-200.0,0.0,SD,36000.0,20200.0,False,0.0,13:38:30
13500.0,5000,-200.0,0.0,BU,36000.0,19600.0,False,0.0,13:38:24
13500.0,5000,-200.0,0.0,BU,31000.0,19600.0,False,0.0,13:37:39
13500.0,3400,-200.0,0.0,BU,26000.0,19600.0,False,100.0,13:36:59
13400.0,200,-300.0,0.0,SD,22600.0,19600.0,False,0.0,13:35:17
13400.0,1300,-300.0,0.0,SD,22600.0,19400.0,False,0.0,13:34:08
13400.0,200,-300.0,0.0,SD,22600.0,18100.0,False,0.0,13:33:48
13400.0,1000,-300.0,0.0,SD,22600.0,17900.0,False,-100.0,13:31:51
13500.0,9200,-200.0,0.0,BU,22600.0,16900.0,False,0.0,13:29:45
13500.0,200,-200.0,0.0,SD,13400.0,16900.0,False,0.0,13:28:34
13500.0,2000,-200.0,0.0,SD,13400.0,16700.0,False,0.0,13:28:16
13500.0,400,-200.0,0.0,SD,13400.0,14700.0,False,-100.0,13:28:15
13600.0,100,-100.0,0.0,BU,13400.0,14300.0,False,100.0,13:27:26
13500.0,300,-200.0,0.0,SD,13300.0,14300.0,False,0.0,13:25:30
13500.0,400,-200.0,0.0,SD,13300.0,14000.0,False,0.0,13:24:27
13500.0,100,-200.0,0.0,BU,13300.0,13600.0,False,0.0,13:20:25
13500.0,1700,-200.0,0.0,SD,13200.0,13600.0,False,0.0,13:18:43
13500.0,300,-200.0,0.0,BU,13200.0,11900.0,False,0.0,13:11:42
13500.0,200,-200.0,0.0,BU,12900.0,11900.0,False,0.0,13:07:43
13500.0,500,-200.0,0.0,BU,12700.0,11900.0,False,0.0,13:07:12
13500.0,1000,-200.0,0.0,SD,12200.0,11900.0,False,0.0,13:06:32
13500.0,300,-200.0,0.0,SD,12200.0,10900.0,False,0.0,11:29:09
13500.0,100,-200.0,0.0,SD,12200.0,10600.0,False,0.0,11:25:07
13500.0,500,-200.0,0.0,BU,12200.0,10500.0,False,0.0,11:14:11
13500.0,800,-200.0,0.0,SD,11700.0,10500.0,False,0.0,11:09:09
13500.0,300,-200.0,0.0,SD,11700.0,9700.0,False,0.0,11:02:45
13500.0,100,-200.0,0.0,BU,11700.0,9400.0,False,0.0,11:00:43
13500.0,400,-200.0,0.0,BU,11600.0,9400.0,False,0.0,10:56:51
13500.0,100,-200.0,0.0,SD,11200.0,9400.0,False,0.0,10:55:11
13500.0,100,-200.0,0.0,BU,11200.0,9300.0,False,0.0,10:49:19
13500.0,2000,-200.0,0.0,BU,11100.0,9300.0,False,0.0,10:46:35
13500.0,200,-200.0,0.0,BU,9100.0,9300.0,False,0.0,10:45:57
13500.0,300,-200.0,0.0,BU,8900.0,9300.0,False,0.0,10:41:43
13500.0,100,-200.0,0.0,BU,8600.0,9300.0,False,0.0,10:40:02
13500.0,1500,-200.0,0.0,BU,8500.0,9300.0,False,100.0,10:39:44
13400.0,500,-300.0,0.0,BU,7000.0,9300.0,False,0.0,10:39:32
13400.0,3300,-300.0,0.0,BU,6500.0,9300.0,False,0.0,10:39:25
13400.0,2000,-300.0,0.0,SD,3200.0,9300.0,False,-100.0,10:38:26
13500.0,200,-200.0,0.0,BU,3200.0,7300.0,False,100.0,10:37:01
13400.0,2000,-300.0,0.0,SD,3000.0,7300.0,False,-100.0,10:36:52
13500.0,200,-200.0,0.0,BU,3000.0,5300.0,False,0.0,10:35:09
13500.0,2100,-200.0,0.0,SD,2800.0,5300.0,False,-200.0,10:35:07
13700.0,600,0.0,0.0,SD,2800.0,3200.0,False,0.0,09:56:57
13700.0,400,0.0,0.0,SD,2800.0,2600.0,False,0.0,09:55:33
13700.0,100,0.0,0.0,BU,2800.0,2200.0,False,0.0,09:52:12
13700.0,700,0.0,0.0,SD,2700.0,2200.0,False,0.0,09:50:32
13700.0,1000,0.0,0.0,BU,2700.0,1500.0,False,0.0,09:44:51
13700.0,700,0.0,0.0,BU,1700.0,1500.0,False,0.0,09:36:16
13700.0,1000,0.0,0.0,SD,1000.0,1500.0,False,0.0,09:35:30
13700.0,500,0.0,0.0,SD,1000.0,500.0,False,-100.0,09:27:44
13800.0,100,100.0,0.0,BU,1000.0,0.0,False,0.0,09:24:21
13800.0,300,100.0,0.0,BU,900.0,0.0,False,-100.0,09:22:00
13900.0,200,200.0,0.0,BU,600.0,0.0,False,0.0,09:12:54
13900.0,400,200.0,0.0,BU,400.0,0.0,False,0.0,09:05:08
