p,v,cp,rcp,a,ba,sa,hl,pcp,t
65200.0,26200,-1600.0,0.0,,249300.0,431800.0,False,-400.0,14:45:00
65600.0,400,-1200.0,0.0,SD,249300.0,431800.0,False,-200.0,14:29:59
65800.0,100,-1000.0,0.0,BU,249300.0,431400.0,False,0.0,14:29:55
65800.0,300,-1000.0,0.0,BU,249200.0,431400.0,False,200.0,14:29:37
65600.0,200,-1200.0,0.0,SD,248900.0,431400.0,False,0.0,14:28:31
65600.0,100,-1200.0,0.0,BU,248900.0,431200.0,False,200.0,14:27:59
65400.0,1400,-1400.0,0.0,SD,248800.0,431200.0,False,0.0,14:27:56
65400.0,200,-1400.0,0.0,SD,248800.0,429800.0,False,-100.0,14:27:56
65500.0,400,-1300.0,0.0,SD,248800.0,429600.0,False,0.0,14:27:56
65500.0,300,-1300.0,0.0,SD,248800.0,429200.0,False,0.0,14:27:51
65500.0,300,-1300.0,0.0,SD,248800.0,428900.0,False,0.0,14:27:16
65500.0,100,-1300.0,0.0,SD,248800.0,428600.0,False,0.0,14:26:58
65500.0,100,-1300.0,0.0,BU,248800.0,428500.0,False,100.0,14:26:41
65400.0,600,-1400.0,0.0,SD,248700.0,428500.0,False,0.0,14:26:39
65400.0,200,-1400.0,0.0,SD,248700.0,427900.0,False,-100.0,14:26:39
65500.0,200,-1300.0,0.0,SD,248700.0,427700.0,False,0.0,14:26:12
65500.0,200,-1300.0,0.0,SD,248700.0,427500.0,False,0.0,14:26:12
65500.0,1000,-1300.0,0.0,SD,248700.0,427300.0,False,0.0,14:26:12
65500.0,400,-1300.0,0.0,SD,248700.0,426300.0,False,0.0,14:26:12
65500.0,9600,-1300.0,0.0,SD,248700.0,425900.0,True,0.0,14:25:57
65500.0,100,-1300.0,0.0,SD,248700.0,416300.0,False,0.0,14:25:57
65500.0,300,-1300.0,0.0,SD,248700.0,416200.0,False,0.0,14:25:57
65500.0,700,-1300.0,0.0,SD,248700.0,415900.0,False,0.0,14:25:56
65500.0,1000,-1300.0,0.0,SD,248700.0,415200.0,False,0.0,14:25:56
65500.0,100,-1300.0,0.0,SD,248700.0,414200.0,False,-100.0,14:25:56
65600.0,200,-1200.0,0.0,BU,248700.0,414100.0,False,0.0,14:25:48
65600.0,100,-1200.0,0.0,BU,248500.0,414100.0,False,0.0,14:25:48
65600.0,700,-1200.0,0.0,BU,248400.0,414100.0,False,100.0,14:25:48
65500.0,100,-1300.0,0.0,SD,247700.0,414100.0,False,0.0,14:25:47
65500.0,4000,-1300.0,0.0,SD,247700.0,414000.0,True,-100.0,14:25:37
65600.0,1000,-1200.0,0.0,BU,247700.0,410000.0,False,0.0,14:25:35
65600.0,700,-1200.0,0.0,BU,246700.0,410000.0,False,0.0,14:25:28
65600.0,600,-1200.0,0.0,SD,246000.0,410000.0,False,0.0,14:25:15
65600.0,400,-1200.0,0.0,SD,246000.0,409400.0,False,-200.0,14:25:06
65800.0,300,-1000.0,0.0,BU,246000.0,409000.0,False,300.0,14:24:53
65500.0,100,-1300.0,0.0,SD,245700.0,409000.0,False,0.0,14:24:51
65500.0,700,-1300.0,0.0,SD,245700.0,408900.0,False,0.0,14:24:43
65500.0,200,-1300.0,0.0,SD,245700.0,408200.0,False,0.0,14:24:43
65500.0,100,-1300.0,0.0,SD,245700.0,408000.0,False,0.0,14:24:43
65500.0,1000,-1300.0,0.0,SD,245700.0,407900.0,False,0.0,14:24:20
65500.0,100,-1300.0,0.0,SD,245700.0,406900.0,False,0.0,14:24:11
65500.0,1900,-1300.0,0.0,SD,245700.0,406800.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,404900.0,False,0.0,14:22:28
65500.0,100,-1300.0,0.0,SD,245700.0,404700.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,404600.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,404400.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,404200.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,404000.0,False,0.0,14:22:28
65500.0,400,-1300.0,0.0,SD,245700.0,403800.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,403400.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,403200.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,403000.0,False,0.0,14:22:28
65500.0,200,-1300.0,0.0,SD,245700.0,402800.0,False,-100.0,14:22:28
65600.0,5200,-1200.0,0.0,BU,245700.0,402600.0,True,0.0,14:22:28
65600.0,600,-1200.0,0.0,BU,240500.0,402600.0,False,-100.0,14:22:28
65700.0,500,-1100.0,0.0,SD,239900.0,402600.0,False,-200.0,14:22:28
65900.0,100,-900.0,0.0,BU,239900.0,402100.0,False,200.0,14:22:18
65700.0,700,-1100.0,0.0,SD,239800.0,402100.0,False,-100.0,14:22:06
65800.0,100,-1000.0,0.0,BU,239800.0,401400.0,False,100.0,14:22:06
65700.0,1000,-1100.0,0.0,SD,239700.0,401400.0,False,-100.0,14:22:06
65800.0,100,-1000.0,0.0,BU,239700.0,400400.0,False,-100.0,14:22:06
65900.0,200,-900.0,0.0,BU,239600.0,400400.0,False,0.0,14:21:57
65900.0,100,-900.0,0.0,SD,239400.0,400400.0,False,-100.0,14:21:48
66000.0,100,-800.0,0.0,BU,239400.0,400300.0,False,0.0,14:21:16
66000.0,100,-800.0,0.0,BU,239300.0,400300.0,False,0.0,14:20:36
66000.0,300,-800.0,0.0,BU,239200.0,400300.0,False,0.0,14:20:14
66000.0,300,-800.0,0.0,SD,238900.0,400300.0,False,0.0,14:19:51
66000.0,200,-800.0,0.0,SD,238900.0,400000.0,False,0.0,14:19:49
66000.0,300,-800.0,0.0,SD,238900.0,399800.0,False,0.0,14:19:26
66000.0,200,-800.0,0.0,SD,238900.0,399500.0,False,0.0,14:19:26
66000.0,200,-800.0,0.0,SD,238900.0,399300.0,False,0.0,14:19:26
66000.0,300,-800.0,0.0,SD,238900.0,399100.0,False,0.0,14:19:26
66000.0,200,-800.0,0.0,BU,238900.0,398800.0,False,0.0,14:18:10
66000.0,300,-800.0,0.0,BU,238700.0,398800.0,False,0.0,14:17:57
66000.0,200,-800.0,0.0,BU,238400.0,398800.0,False,200.0,14:17:57
65800.0,500,-1000.0,0.0,SD,238200.0,398800.0,False,200.0,14:17:28
65600.0,400,-1200.0,0.0,SD,238200.0,398300.0,False,0.0,14:17:00
65600.0,600,-1200.0,0.0,SD,238200.0,397900.0,False,0.0,14:16:47
65600.0,1000,-1200.0,0.0,SD,238200.0,397300.0,False,-200.0,14:16:03
65800.0,100,-1000.0,0.0,BU,238200.0,396300.0,False,200.0,14:15:52
65600.0,400,-1200.0,0.0,BU,238100.0,396300.0,False,0.0,14:15:45
65600.0,100,-1200.0,0.0,BU,237700.0,396300.0,False,0.0,14:15:44
65600.0,1000,-1200.0,0.0,BU,237600.0,396300.0,False,0.0,14:15:32
65600.0,500,-1200.0,0.0,BU,236600.0,396300.0,False,-100.0,14:15:32
65700.0,1000,-1100.0,0.0,BU,236100.0,396300.0,False,-100.0,14:15:16
65800.0,100,-1000.0,0.0,SD,235100.0,396300.0,False,0.0,14:14:26
65800.0,100,-1000.0,0.0,SD,235100.0,396200.0,False,0.0,14:14:26
65800.0,400,-1000.0,0.0,SD,235100.0,396100.0,False,-200.0,14:14:26
66000.0,1000,-800.0,0.0,SD,235100.0,395700.0,False,0.0,14:13:10
66000.0,100,-800.0,0.0,SD,235100.0,394700.0,False,0.0,14:13:10
66000.0,100,-800.0,0.0,SD,235100.0,394600.0,False,0.0,14:13:10
66000.0,200,-800.0,0.0,SD,235100.0,394500.0,False,0.0,14:13:05
66000.0,100,-800.0,0.0,SD,235100.0,394300.0,False,0.0,14:13:05
66000.0,200,-800.0,0.0,SD,235100.0,394200.0,False,-400.0,14:13:05
66400.0,100,-400.0,0.0,BU,235100.0,394000.0,False,100.0,14:12:23
66300.0,300,-500.0,0.0,BU,235000.0,394000.0,False,300.0,14:12:23
66000.0,2600,-800.0,0.0,SD,234700.0,394000.0,False,-300.0,14:12:21
66300.0,200,-500.0,0.0,BU,234700.0,391400.0,False,300.0,14:12:15
66000.0,100,-800.0,0.0,SD,234500.0,391400.0,False,-100.0,14:12:02
66100.0,200,-700.0,0.0,SD,234500.0,391300.0,False,0.0,14:12:02
66100.0,100,-700.0,0.0,SD,234500.0,391100.0,False,0.0,14:12:01
66100.0,100,-700.0,0.0,SD,234500.0,391000.0,False,-100.0,14:12:01
66200.0,100,-600.0,0.0,SD,234500.0,390900.0,False,-100.0,14:12:01
66300.0,100,-500.0,0.0,SD,234500.0,390800.0,False,-100.0,14:11:56
66400.0,400,-400.0,0.0,SD,234500.0,390700.0,False,0.0,14:11:46
66400.0,100,-400.0,0.0,SD,234500.0,390300.0,False,0.0,14:11:41
66400.0,300,-400.0,0.0,SD,234500.0,390200.0,False,0.0,14:11:09
66400.0,200,-400.0,0.0,SD,234500.0,389900.0,False,0.0,14:11:08
66400.0,100,-400.0,0.0,SD,234500.0,389700.0,False,-200.0,14:11:08
66600.0,200,-200.0,0.0,SD,234500.0,389600.0,False,0.0,14:11:05
66600.0,100,-200.0,0.0,SD,234500.0,389400.0,False,0.0,14:11:05
66600.0,300,-200.0,0.0,SD,234500.0,389300.0,False,0.0,14:11:05
66600.0,700,-200.0,0.0,SD,234500.0,389000.0,False,0.0,14:10:58
66600.0,300,-200.0,0.0,SD,234500.0,388300.0,False,0.0,14:10:58
66600.0,500,-200.0,0.0,SD,234500.0,388000.0,False,0.0,14:10:43
66600.0,200,-200.0,0.0,BU,234500.0,387500.0,False,0.0,14:10:37
66600.0,100,-200.0,0.0,BU,234300.0,387500.0,False,0.0,14:10:37
66600.0,600,-200.0,0.0,BU,234200.0,387500.0,False,200.0,14:10:37
66400.0,100,-400.0,0.0,SD,233600.0,387500.0,False,-200.0,14:10:34
66600.0,200,-200.0,0.0,BU,233600.0,387400.0,False,0.0,14:10:31
66600.0,700,-200.0,0.0,BU,233400.0,387400.0,False,0.0,14:10:31
66600.0,100,-200.0,0.0,BU,232700.0,387400.0,False,200.0,14:10:31
66400.0,400,-400.0,0.0,SD,232600.0,387400.0,False,0.0,14:09:58
66400.0,100,-400.0,0.0,SD,232600.0,387000.0,False,-100.0,14:09:58
66500.0,100,-300.0,0.0,BU,232600.0,386900.0,False,0.0,14:09:55
66500.0,100,-300.0,0.0,BU,232500.0,386900.0,False,100.0,14:09:55
66400.0,100,-400.0,0.0,SD,232400.0,386900.0,False,0.0,14:09:38
66400.0,900,-400.0,0.0,SD,232400.0,386800.0,False,-100.0,14:09:38
66500.0,9900,-300.0,0.0,BU,232400.0,385900.0,True,0.0,14:09:38
66500.0,1000,-300.0,0.0,BU,222500.0,385900.0,False,0.0,14:09:38
66500.0,2000,-300.0,0.0,BU,221500.0,385900.0,False,0.0,14:09:38
66500.0,200,-300.0,0.0,BU,219500.0,385900.0,False,0.0,14:09:38
66500.0,1900,-300.0,0.0,BU,219300.0,385900.0,False,100.0,14:09:38
66400.0,1000,-400.0,0.0,BU,217400.0,385900.0,False,0.0,14:08:40
66400.0,100,-400.0,0.0,BU,216400.0,385900.0,False,0.0,14:08:40
66400.0,300,-400.0,0.0,BU,216300.0,385900.0,False,0.0,14:08:07
66400.0,300,-400.0,0.0,BU,216000.0,385900.0,False,0.0,14:07:36
66400.0,100,-400.0,0.0,BU,215700.0,385900.0,False,0.0,14:07:09
66400.0,200,-400.0,0.0,BU,215600.0,385900.0,False,100.0,14:06:56
66300.0,200,-500.0,0.0,BU,215400.0,385900.0,False,0.0,14:06:56
66300.0,100,-500.0,0.0,BU,215200.0,385900.0,False,0.0,14:06:56
66300.0,100,-500.0,0.0,BU,215100.0,385900.0,False,100.0,14:06:53
66200.0,1000,-600.0,0.0,BU,215000.0,385900.0,False,200.0,14:06:41
66000.0,1000,-800.0,0.0,BU,214000.0,385900.0,False,0.0,14:05:49
66000.0,5000,-800.0,0.0,BU,213000.0,385900.0,True,0.0,14:05:49
66000.0,200,-800.0,0.0,BU,208000.0,385900.0,False,0.0,14:05:49
66000.0,200,-800.0,0.0,BU,207800.0,385900.0,False,0.0,14:05:49
66000.0,700,-800.0,0.0,BU,207600.0,385900.0,False,100.0,14:05:49
65900.0,100,-900.0,0.0,BU,206900.0,385900.0,False,0.0,14:05:38
65900.0,200,-900.0,0.0,BU,206800.0,385900.0,False,0.0,14:05:38
65900.0,200,-900.0,0.0,BU,206600.0,385900.0,False,0.0,14:05:12
65900.0,400,-900.0,0.0,BU,206400.0,385900.0,False,0.0,14:04:35
65900.0,1400,-900.0,0.0,BU,206000.0,385900.0,False,100.0,14:04:35
65800.0,100,-1000.0,0.0,SD,204600.0,385900.0,False,-100.0,14:03:54
65900.0,300,-900.0,0.0,BU,204600.0,385800.0,False,0.0,14:03:46
65900.0,100,-900.0,0.0,BU,204300.0,385800.0,False,0.0,14:03:40
65900.0,1000,-900.0,0.0,BU,204200.0,385800.0,False,0.0,14:03:33
65900.0,4200,-900.0,0.0,BU,203200.0,385800.0,True,0.0,14:03:17
65900.0,1000,-900.0,0.0,BU,199000.0,385800.0,False,100.0,14:03:05
65800.0,100,-1000.0,0.0,BU,198000.0,385800.0,False,0.0,14:03:05
65800.0,100,-1000.0,0.0,BU,197900.0,385800.0,False,0.0,14:02:57
65800.0,100,-1000.0,0.0,SD,197800.0,385800.0,False,0.0,14:02:55
65800.0,700,-1000.0,0.0,SD,197800.0,385700.0,False,0.0,14:02:55
65800.0,300,-1000.0,0.0,SD,197800.0,385000.0,False,0.0,14:02:44
65800.0,300,-1000.0,0.0,SD,197800.0,384700.0,False,0.0,14:02:44
65800.0,100,-1000.0,0.0,SD,197800.0,384400.0,False,-100.0,14:02:12
65900.0,1300,-900.0,0.0,BU,197800.0,384300.0,False,0.0,14:02:12
65900.0,100,-900.0,0.0,BU,196500.0,384300.0,False,0.0,14:01:28
65900.0,1500,-900.0,0.0,BU,196400.0,384300.0,False,0.0,14:01:18
65900.0,100,-900.0,0.0,BU,194900.0,384300.0,False,100.0,14:01:17
65800.0,100,-1000.0,0.0,BU,194800.0,384300.0,False,0.0,14:00:57
65800.0,100,-1000.0,0.0,BU,194700.0,384300.0,False,0.0,14:00:53
65800.0,200,-1000.0,0.0,BU,194600.0,384300.0,False,0.0,14:00:53
65800.0,200,-1000.0,0.0,BU,194400.0,384300.0,False,0.0,14:00:38
65800.0,600,-1000.0,0.0,BU,194200.0,384300.0,False,200.0,14:00:30
65600.0,100,-1200.0,0.0,SD,193600.0,384300.0,False,0.0,13:59:35
65600.0,900,-1200.0,0.0,SD,193600.0,384200.0,False,100.0,13:59:34
65500.0,3000,-1300.0,0.0,SD,193600.0,383300.0,False,0.0,13:59:10
65500.0,4800,-1300.0,0.0,BU,193600.0,380300.0,True,0.0,13:58:42
65500.0,300,-1300.0,0.0,BU,188800.0,380300.0,False,0.0,13:58:41
65500.0,200,-1300.0,0.0,SD,188500.0,380300.0,False,0.0,13:58:31
65500.0,200,-1300.0,0.0,SD,188500.0,380100.0,False,0.0,13:58:31
65500.0,300,-1300.0,0.0,SD,188500.0,379900.0,False,0.0,13:58:31
65500.0,300,-1300.0,0.0,SD,188500.0,379600.0,False,0.0,13:58:31
65500.0,200,-1300.0,0.0,SD,188500.0,379300.0,False,0.0,13:58:31
65500.0,200,-1300.0,0.0,SD,188500.0,379100.0,False,0.0,13:58:31
65500.0,100,-1300.0,0.0,SD,188500.0,378900.0,False,0.0,13:58:31
65500.0,200,-1300.0,0.0,SD,188500.0,378800.0,False,0.0,13:58:31
65500.0,3200,-1300.0,0.0,SD,188500.0,378600.0,True,-300.0,13:58:31
65800.0,200,-1000.0,0.0,SD,188500.0,375400.0,False,0.0,13:57:37
65800.0,100,-1000.0,0.0,SD,188500.0,375200.0,False,0.0,13:57:35
65800.0,1500,-1000.0,0.0,BU,188500.0,375100.0,False,0.0,13:57:10
65800.0,200,-1000.0,0.0,BU,187000.0,375100.0,False,300.0,13:57:10
65500.0,300,-1300.0,0.0,BU,186800.0,375100.0,False,0.0,13:56:43
65500.0,1500,-1300.0,0.0,BU,186500.0,375100.0,False,0.0,13:56:43
65500.0,300,-1300.0,0.0,BU,185000.0,375100.0,False,0.0,13:56:41
65500.0,200,-1300.0,0.0,BU,184700.0,375100.0,False,0.0,13:56:40
65500.0,200,-1300.0,0.0,BU,184500.0,375100.0,False,0.0,13:56:40
65500.0,200,-1300.0,0.0,BU,184300.0,375100.0,False,0.0,13:56:39
65500.0,100,-1300.0,0.0,BU,184100.0,375100.0,False,100.0,13:56:28
65400.0,100,-1400.0,0.0,SD,184000.0,375100.0,False,0.0,13:56:16
65400.0,100,-1400.0,0.0,BU,184000.0,375000.0,False,100.0,13:55:16
65300.0,100,-1500.0,0.0,BU,183900.0,375000.0,False,0.0,13:54:31
65300.0,200,-1500.0,0.0,BU,183800.0,375000.0,False,0.0,13:54:31
65300.0,200,-1500.0,0.0,BU,183600.0,375000.0,False,0.0,13:54:30
65300.0,2000,-1500.0,0.0,BU,183400.0,375000.0,False,0.0,13:54:03
65300.0,900,-1500.0,0.0,BU,181400.0,375000.0,False,0.0,13:53:58
65300.0,100,-1500.0,0.0,BU,180500.0,375000.0,False,0.0,13:53:56
65300.0,1600,-1500.0,0.0,BU,180400.0,375000.0,False,0.0,13:53:43
65300.0,3200,-1500.0,0.0,BU,178800.0,375000.0,True,0.0,13:53:43
65300.0,200,-1500.0,0.0,BU,175600.0,375000.0,False,100.0,13:53:43
65200.0,500,-1600.0,0.0,SD,175400.0,375000.0,False,0.0,13:53:18
65200.0,200,-1600.0,0.0,BU,175400.0,374500.0,False,0.0,13:53:09
65200.0,800,-1600.0,0.0,BU,175200.0,374500.0,False,0.0,13:52:55
65200.0,100,-1600.0,0.0,BU,174400.0,374500.0,False,0.0,13:52:55
65200.0,400,-1600.0,0.0,BU,174300.0,374500.0,False,0.0,13:52:55
65200.0,100,-1600.0,0.0,SD,173900.0,374500.0,False,0.0,13:52:17
65200.0,200,-1600.0,0.0,SD,173900.0,374400.0,False,0.0,13:52:12
65200.0,800,-1600.0,0.0,SD,173900.0,374200.0,False,0.0,13:52:07
65200.0,200,-1600.0,0.0,SD,173900.0,373400.0,False,0.0,13:52:07
65200.0,300,-1600.0,0.0,SD,173900.0,373200.0,False,-100.0,13:51:42
65300.0,100,-1500.0,0.0,BU,173900.0,372900.0,False,0.0,13:50:57
65300.0,100,-1500.0,0.0,BU,173800.0,372900.0,False,100.0,13:50:25
65200.0,200,-1600.0,0.0,SD,173700.0,372900.0,False,0.0,13:49:36
65200.0,300,-1600.0,0.0,BU,173700.0,372700.0,False,0.0,13:49:31
65200.0,1000,-1600.0,0.0,BU,173400.0,372700.0,False,100.0,13:49:26
65100.0,100,-1700.0,0.0,SD,172400.0,372700.0,False,0.0,13:49:24
65100.0,200,-1700.0,0.0,SD,172400.0,372600.0,False,0.0,13:49:05
65100.0,300,-1700.0,0.0,SD,172400.0,372400.0,False,0.0,13:49:05
65100.0,200,-1700.0,0.0,BU,172400.0,372100.0,False,0.0,13:48:49
65100.0,100,-1700.0,0.0,SD,172200.0,372100.0,False,0.0,13:48:39
65100.0,500,-1700.0,0.0,SD,172200.0,372000.0,False,0.0,13:48:39
65100.0,500,-1700.0,0.0,SD,172200.0,371500.0,False,0.0,13:48:39
65100.0,500,-1700.0,0.0,SD,172200.0,371000.0,False,0.0,13:48:39
65100.0,1000,-1700.0,0.0,SD,172200.0,370500.0,False,0.0,13:48:39
65100.0,1600,-1700.0,0.0,SD,172200.0,369500.0,False,0.0,13:48:39
65100.0,1500,-1700.0,0.0,SD,172200.0,367900.0,False,0.0,13:48:39
65100.0,500,-1700.0,0.0,SD,172200.0,366400.0,False,0.0,13:48:39
65100.0,1000,-1700.0,0.0,SD,172200.0,365900.0,False,0.0,13:48:39
65100.0,1000,-1700.0,0.0,SD,172200.0,364900.0,False,0.0,13:48:39
65100.0,3000,-1700.0,0.0,SD,172200.0,363900.0,False,0.0,13:48:39
65100.0,100,-1700.0,0.0,SD,172200.0,360900.0,False,0.0,13:48:39
65100.0,500,-1700.0,0.0,SD,172200.0,360800.0,False,0.0,13:48:39
65100.0,1000,-1700.0,0.0,SD,172200.0,360300.0,False,-100.0,13:48:39
65200.0,100,-1600.0,0.0,SD,172200.0,359300.0,False,0.0,13:48:38
65200.0,100,-1600.0,0.0,SD,172200.0,359200.0,False,0.0,13:48:38
65200.0,400,-1600.0,0.0,BU,172200.0,359100.0,False,0.0,13:48:37
65200.0,100,-1600.0,0.0,SD,171800.0,359100.0,False,0.0,13:48:19
65200.0,400,-1600.0,0.0,SD,171800.0,359000.0,False,0.0,13:48:19
65200.0,500,-1600.0,0.0,SD,171800.0,358600.0,False,0.0,13:48:07
65200.0,800,-1600.0,0.0,SD,171800.0,358100.0,False,0.0,13:47:53
65200.0,200,-1600.0,0.0,SD,171800.0,357300.0,False,0.0,13:47:53
65200.0,2000,-1600.0,0.0,SD,171800.0,357100.0,False,0.0,13:47:53
65200.0,500,-1600.0,0.0,BU,171800.0,355100.0,False,0.0,13:47:02
65200.0,100,-1600.0,0.0,BU,171300.0,355100.0,False,0.0,13:47:02
65200.0,500,-1600.0,0.0,BU,171200.0,355100.0,False,0.0,13:46:16
65200.0,1500,-1600.0,0.0,BU,170700.0,355100.0,False,100.0,13:46:16
65100.0,1400,-1700.0,0.0,SD,169200.0,355100.0,False,0.0,13:46:05
65100.0,1000,-1700.0,0.0,SD,169200.0,353700.0,False,0.0,13:45:37
65100.0,2600,-1700.0,0.0,BU,169200.0,352700.0,False,0.0,13:45:17
65100.0,100,-1700.0,0.0,BU,166600.0,352700.0,False,0.0,13:44:45
65100.0,200,-1700.0,0.0,BU,166500.0,352700.0,False,0.0,13:44:33
65100.0,1000,-1700.0,0.0,SD,166300.0,352700.0,False,100.0,13:44:31
65000.0,100,-1800.0,0.0,SD,166300.0,351700.0,False,0.0,13:43:37
65000.0,100,-1800.0,0.0,SD,166300.0,351600.0,False,0.0,13:43:37
65000.0,200,-1800.0,0.0,SD,166300.0,351500.0,False,-200.0,13:43:37
65200.0,100,-1600.0,0.0,SD,166300.0,351300.0,False,200.0,13:43:37
65000.0,700,-1800.0,0.0,SD,166300.0,351200.0,False,-100.0,13:43:37
65100.0,500,-1700.0,0.0,SD,166300.0,350500.0,False,0.0,13:43:37
65100.0,100,-1700.0,0.0,SD,166300.0,350000.0,False,0.0,13:43:37
65100.0,100,-1700.0,0.0,SD,166300.0,349900.0,False,0.0,13:43:37
65100.0,100,-1700.0,0.0,SD,166300.0,349800.0,False,0.0,13:43:37
65100.0,100,-1700.0,0.0,SD,166300.0,349700.0,False,0.0,13:43:37
65100.0,500,-1700.0,0.0,SD,166300.0,349600.0,False,0.0,13:43:37
65100.0,1000,-1700.0,0.0,SD,166300.0,349100.0,False,0.0,13:43:37
65100.0,1700,-1700.0,0.0,SD,166300.0,348100.0,False,-100.0,13:43:37
65200.0,500,-1600.0,0.0,SD,166300.0,346400.0,False,0.0,13:43:37
65200.0,100,-1600.0,0.0,SD,166300.0,345900.0,False,0.0,13:43:37
65200.0,100,-1600.0,0.0,SD,166300.0,345800.0,False,0.0,13:43:21
65200.0,500,-1600.0,0.0,SD,166300.0,345700.0,False,0.0,13:43:21
65200.0,500,-1600.0,0.0,SD,166300.0,345200.0,False,0.0,13:43:13
65200.0,500,-1600.0,0.0,SD,166300.0,344700.0,False,-100.0,13:43:13
65300.0,1000,-1500.0,0.0,BU,166300.0,344200.0,False,0.0,13:42:51
65300.0,400,-1500.0,0.0,BU,165300.0,344200.0,False,0.0,13:42:51
65300.0,1800,-1500.0,0.0,BU,164900.0,344200.0,False,0.0,13:42:51
65300.0,100,-1500.0,0.0,BU,163100.0,344200.0,False,0.0,13:42:51
65300.0,700,-1500.0,0.0,BU,163000.0,344200.0,False,0.0,13:42:51
65300.0,100,-1500.0,0.0,BU,162300.0,344200.0,False,-100.0,13:42:51
65400.0,500,-1400.0,0.0,BU,162200.0,344200.0,False,100.0,13:42:16
65300.0,100,-1500.0,0.0,SD,161700.0,344200.0,False,-100.0,13:41:47
65400.0,100,-1400.0,0.0,BU,161700.0,344100.0,False,0.0,13:41:37
65400.0,200,-1400.0,0.0,BU,161600.0,344100.0,False,100.0,13:41:37
65300.0,100,-1500.0,0.0,SD,161400.0,344100.0,False,0.0,13:41:36
65300.0,100,-1500.0,0.0,SD,161400.0,344000.0,False,-100.0,13:41:36
65400.0,100,-1400.0,0.0,SD,161400.0,343900.0,False,-100.0,13:41:19
65500.0,100,-1300.0,0.0,BU,161400.0,343800.0,False,0.0,13:40:43
65500.0,1200,-1300.0,0.0,BU,161300.0,343800.0,False,0.0,13:40:30
65500.0,100,-1300.0,0.0,BU,160100.0,343800.0,False,0.0,13:40:04
65500.0,1000,-1300.0,0.0,BU,160000.0,343800.0,False,0.0,13:40:04
65500.0,100,-1300.0,0.0,BU,159000.0,343800.0,False,0.0,13:40:04
65500.0,1000,-1300.0,0.0,BU,158900.0,343800.0,False,-100.0,13:40:04
65600.0,500,-1200.0,0.0,BU,157900.0,343800.0,False,0.0,13:40:04
65600.0,100,-1200.0,0.0,BU,157400.0,343800.0,False,0.0,13:40:04
65600.0,100,-1200.0,0.0,BU,157300.0,343800.0,False,0.0,13:38:13
65600.0,500,-1200.0,0.0,BU,157200.0,343800.0,False,0.0,13:37:45
65600.0,1500,-1200.0,0.0,SD,156700.0,343800.0,False,100.0,13:37:34
65500.0,500,-1300.0,0.0,BU,156700.0,342300.0,False,0.0,13:35:48
65500.0,500,-1300.0,0.0,BU,156200.0,342300.0,False,0.0,13:35:47
65500.0,300,-1300.0,0.0,BU,155700.0,342300.0,False,200.0,13:35:47
65300.0,500,-1500.0,0.0,BU,155400.0,342300.0,False,100.0,13:35:29
65200.0,100,-1600.0,0.0,BU,154900.0,342300.0,False,0.0,13:35:12
65200.0,200,-1600.0,0.0,BU,154800.0,342300.0,False,0.0,13:34:41
65200.0,800,-1600.0,0.0,BU,154600.0,342300.0,False,0.0,13:34:36
65200.0,2000,-1600.0,0.0,BU,153800.0,342300.0,False,0.0,13:34:36
65200.0,100,-1600.0,0.0,BU,151800.0,342300.0,False,0.0,13:34:36
65200.0,100,-1600.0,0.0,BU,151700.0,342300.0,False,0.0,13:34:36
65200.0,100,-1600.0,0.0,BU,151600.0,342300.0,False,0.0,13:34:35
65200.0,100,-1600.0,0.0,BU,151500.0,342300.0,False,0.0,13:34:24
65200.0,500,-1600.0,0.0,BU,151400.0,342300.0,False,100.0,13:34:21
65100.0,100,-1700.0,0.0,SD,150900.0,342300.0,False,0.0,13:34:18
65100.0,100,-1700.0,0.0,SD,150900.0,342200.0,False,0.0,13:34:14
65100.0,1500,-1700.0,0.0,BU,150900.0,342100.0,False,0.0,13:33:56
65100.0,1600,-1700.0,0.0,BU,149400.0,342100.0,False,0.0,13:33:56
65100.0,500,-1700.0,0.0,BU,147800.0,342100.0,False,100.0,13:33:48
65000.0,1300,-1800.0,0.0,SD,147300.0,342100.0,False,0.0,13:33:47
65000.0,800,-1800.0,0.0,SD,147300.0,340800.0,False,0.0,13:33:47
65000.0,100,-1800.0,0.0,SD,147300.0,340000.0,False,0.0,13:33:47
65000.0,1000,-1800.0,0.0,SD,147300.0,339900.0,False,0.0,13:33:47
65000.0,500,-1800.0,0.0,SD,147300.0,338900.0,False,0.0,13:33:47
65000.0,100,-1800.0,0.0,SD,147300.0,338400.0,False,0.0,13:33:47
65000.0,200,-1800.0,0.0,SD,147300.0,338300.0,False,0.0,13:33:47
65000.0,100,-1800.0,0.0,SD,147300.0,338100.0,False,0.0,13:33:47
