p,v,cp,rcp,a,ba,sa,hl,pcp,t
24900.0,783800,-800.0,0.0,,1705600.0,3782900.0,False,-100.0,14:45:00
25000.0,300,-700.0,0.0,SD,1705600.0,3782900.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3782600.0,False,0.0,14:29:53
25000.0,2500,-700.0,0.0,SD,1705600.0,3782500.0,False,0.0,14:29:53
25000.0,500,-700.0,0.0,SD,1705600.0,3780000.0,False,0.0,14:29:53
25000.0,1000,-700.0,0.0,SD,1705600.0,3779500.0,False,0.0,14:29:53
25000.0,1000,-700.0,0.0,SD,1705600.0,3778500.0,False,0.0,14:29:53
25000.0,1500,-700.0,0.0,SD,1705600.0,3777500.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3776000.0,False,0.0,14:29:53
25000.0,200,-700.0,0.0,SD,1705600.0,3775900.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3775700.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3775600.0,False,0.0,14:29:53
25000.0,500,-700.0,0.0,SD,1705600.0,3775500.0,False,0.0,14:29:53
25000.0,1000,-700.0,0.0,SD,1705600.0,3775000.0,False,0.0,14:29:53
25000.0,1500,-700.0,0.0,SD,1705600.0,3774000.0,False,0.0,14:29:53
25000.0,2000,-700.0,0.0,SD,1705600.0,3772500.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3770500.0,False,0.0,14:29:53
25000.0,2000,-700.0,0.0,SD,1705600.0,3770400.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3768400.0,False,0.0,14:29:53
25000.0,2000,-700.0,0.0,SD,1705600.0,3768300.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3766300.0,False,0.0,14:29:53
25000.0,200,-700.0,0.0,SD,1705600.0,3766200.0,False,0.0,14:29:53
25000.0,500,-700.0,0.0,SD,1705600.0,3766000.0,False,0.0,14:29:53
25000.0,100,-700.0,0.0,SD,1705600.0,3765500.0,False,0.0,14:29:53
25000.0,8500,-700.0,0.0,SD,1705600.0,3765400.0,True,-50.0,14:29:53
25050.0,2000,-650.0,0.0,SD,1705600.0,3756900.0,False,0.0,14:29:53
25050.0,1600,-650.0,0.0,SD,1705600.0,3754900.0,False,0.0,14:29:53
25050.0,300,-650.0,0.0,SD,1705600.0,3753300.0,False,0.0,14:29:53
25050.0,23000,-650.0,0.0,SD,1705600.0,3753000.0,True,0.0,14:29:53
25050.0,100,-650.0,0.0,SD,1705600.0,3730000.0,False,0.0,14:29:53
25050.0,1000,-650.0,0.0,SD,1705600.0,3729900.0,False,0.0,14:29:53
25050.0,700,-650.0,0.0,SD,1705600.0,3728900.0,False,-50.0,14:29:53
25100.0,400,-600.0,0.0,SD,1705600.0,3728200.0,False,0.0,14:29:53
25100.0,500,-600.0,0.0,SD,1705600.0,3727800.0,False,0.0,14:29:53
25100.0,1000,-600.0,0.0,SD,1705600.0,3727300.0,False,0.0,14:29:53
25100.0,2000,-600.0,0.0,SD,1705600.0,3726300.0,False,0.0,14:29:53
25100.0,2000,-600.0,0.0,SD,1705600.0,3724300.0,False,0.0,14:29:53
25100.0,4700,-600.0,0.0,SD,1705600.0,3722300.0,False,0.0,14:29:53
25100.0,1000,-600.0,0.0,SD,1705600.0,3717600.0,False,0.0,14:29:53
25100.0,100,-600.0,0.0,SD,1705600.0,3716600.0,False,0.0,14:29:53
25100.0,500,-600.0,0.0,SD,1705600.0,3716500.0,False,0.0,14:29:53
25100.0,200,-600.0,0.0,SD,1705600.0,3716000.0,False,0.0,14:29:53
25100.0,500,-600.0,0.0,SD,1705600.0,3715800.0,False,0.0,14:29:53
25100.0,500,-600.0,0.0,SD,1705600.0,3715300.0,False,0.0,14:29:53
25100.0,500,-600.0,0.0,SD,1705600.0,3714800.0,False,0.0,14:29:53
25100.0,400,-600.0,0.0,SD,1705600.0,3714300.0,False,-100.0,14:29:53
25200.0,100,-500.0,0.0,SD,1705600.0,3713900.0,False,0.0,14:29:53
25200.0,500,-500.0,0.0,SD,1705600.0,3713800.0,False,0.0,14:29:53
25200.0,300,-500.0,0.0,SD,1705600.0,3713300.0,False,0.0,14:29:53
25200.0,5000,-500.0,0.0,SD,1705600.0,3713000.0,False,0.0,14:29:53
25200.0,3000,-500.0,0.0,SD,1705600.0,3708000.0,False,0.0,14:29:53
25200.0,200,-500.0,0.0,SD,1705600.0,3705000.0,False,0.0,14:29:53
25200.0,500,-500.0,0.0,SD,1705600.0,3704800.0,False,0.0,14:29:53
25200.0,500,-500.0,0.0,SD,1705600.0,3704300.0,False,0.0,14:29:53
25200.0,400,-500.0,0.0,SD,1705600.0,3703800.0,False,0.0,14:29:53
25200.0,2800,-500.0,0.0,SD,1705600.0,3703400.0,False,-50.0,14:29:53
25250.0,800,-450.0,0.0,SD,1705600.0,3700600.0,False,0.0,14:29:53
25250.0,1000,-450.0,0.0,SD,1705600.0,3699800.0,False,0.0,14:29:53
25250.0,1000,-450.0,0.0,SD,1705600.0,3698800.0,False,0.0,14:29:53
25250.0,100,-450.0,0.0,SD,1705600.0,3697800.0,False,0.0,14:29:53
25250.0,2000,-450.0,0.0,SD,1705600.0,3697700.0,False,0.0,14:29:53
25250.0,100,-450.0,0.0,SD,1705600.0,3695700.0,False,0.0,14:29:53
25250.0,3600,-450.0,0.0,SD,1705600.0,3695600.0,False,-50.0,14:29:53
25300.0,2000,-400.0,0.0,SD,1705600.0,3692000.0,False,50.0,14:29:53
25250.0,1000,-450.0,0.0,SD,1705600.0,3690000.0,False,0.0,14:29:51
25250.0,400,-450.0,0.0,SD,1705600.0,3689000.0,False,0.0,14:29:48
25250.0,300,-450.0,0.0,SD,1705600.0,3688600.0,False,-50.0,14:29:48
25300.0,500,-400.0,0.0,BU,1705600.0,3688300.0,False,50.0,14:29:48
25250.0,200,-450.0,0.0,SD,1705100.0,3688300.0,False,0.0,14:29:48
25250.0,800,-450.0,0.0,SD,1705100.0,3688100.0,False,0.0,14:29:48
25250.0,700,-450.0,0.0,SD,1705100.0,3687300.0,False,0.0,14:29:46
25250.0,300,-450.0,0.0,SD,1705100.0,3686600.0,False,0.0,14:29:46
25250.0,900,-450.0,0.0,SD,1705100.0,3686300.0,False,0.0,14:29:45
25250.0,100,-450.0,0.0,SD,1705100.0,3685400.0,False,0.0,14:29:45
25250.0,900,-450.0,0.0,SD,1705100.0,3685300.0,False,0.0,14:29:24
25250.0,500,-450.0,0.0,SD,1705100.0,3684400.0,False,0.0,14:29:24
25250.0,100,-450.0,0.0,SD,1705100.0,3683900.0,False,-50.0,14:29:24
25300.0,500,-400.0,0.0,BU,1705100.0,3683800.0,False,0.0,14:29:16
25300.0,500,-400.0,0.0,BU,1704600.0,3683800.0,False,0.0,14:29:16
25300.0,2700,-400.0,0.0,BU,1704100.0,3683800.0,False,0.0,14:29:15
25300.0,1000,-400.0,0.0,BU,1701400.0,3683800.0,False,0.0,14:29:15
25300.0,800,-400.0,0.0,BU,1700400.0,3683800.0,False,0.0,14:29:15
25300.0,400,-400.0,0.0,BU,1699600.0,3683800.0,False,0.0,14:29:15
25300.0,100,-400.0,0.0,BU,1699200.0,3683800.0,False,0.0,14:29:15
25300.0,4900,-400.0,0.0,BU,1699100.0,3683800.0,False,0.0,14:29:11
25300.0,100,-400.0,0.0,BU,1694200.0,3683800.0,False,0.0,14:29:11
25300.0,100,-400.0,0.0,BU,1694100.0,3683800.0,False,50.0,14:29:08
25250.0,200,-450.0,0.0,SD,1694000.0,3683800.0,False,-50.0,14:29:05
25300.0,500,-400.0,0.0,BU,1694000.0,3683600.0,False,0.0,14:29:03
25300.0,300,-400.0,0.0,BU,1693500.0,3683600.0,False,0.0,14:28:59
25300.0,200,-400.0,0.0,BU,1693200.0,3683600.0,False,0.0,14:28:58
25300.0,1200,-400.0,0.0,BU,1693000.0,3683600.0,False,0.0,14:28:58
25300.0,500,-400.0,0.0,BU,1691800.0,3683600.0,False,0.0,14:28:58
25300.0,100,-400.0,0.0,BU,1691300.0,3683600.0,False,50.0,14:28:58
25250.0,700,-450.0,0.0,BU,1691200.0,3683600.0,False,0.0,14:28:51
25250.0,300,-450.0,0.0,BU,1690500.0,3683600.0,False,0.0,14:28:47
25250.0,900,-450.0,0.0,BU,1690200.0,3683600.0,False,0.0,14:28:47
25250.0,700,-450.0,0.0,BU,1689300.0,3683600.0,False,0.0,14:28:47
25250.0,100,-450.0,0.0,BU,1688600.0,3683600.0,False,0.0,14:28:47
25250.0,200,-450.0,0.0,BU,1688500.0,3683600.0,False,0.0,14:28:46
25250.0,300,-450.0,0.0,BU,1688300.0,3683600.0,False,50.0,14:28:43
25200.0,500,-500.0,0.0,SD,1688000.0,3683600.0,False,-50.0,14:28:42
25250.0,400,-450.0,0.0,BU,1688000.0,3683100.0,False,0.0,14:28:36
25250.0,300,-450.0,0.0,BU,1687600.0,3683100.0,False,0.0,14:28:36
25250.0,100,-450.0,0.0,BU,1687300.0,3683100.0,False,0.0,14:28:32
25250.0,100,-450.0,0.0,BU,1687200.0,3683100.0,False,0.0,14:28:26
25250.0,400,-450.0,0.0,BU,1687100.0,3683100.0,False,50.0,14:28:26
25200.0,1700,-500.0,0.0,BU,1686700.0,3683100.0,False,0.0,14:28:25
25200.0,300,-500.0,0.0,SD,1685000.0,3683100.0,False,-50.0,14:28:25
25250.0,1100,-450.0,0.0,BU,1685000.0,3682800.0,False,50.0,14:28:17
25200.0,700,-500.0,0.0,BU,1683900.0,3682800.0,False,0.0,14:28:17
25200.0,500,-500.0,0.0,BU,1683200.0,3682800.0,False,0.0,14:28:16
25200.0,100,-500.0,0.0,SD,1682700.0,3682800.0,False,0.0,14:28:15
25200.0,1200,-500.0,0.0,SD,1682700.0,3682700.0,False,-50.0,14:28:15
25250.0,500,-450.0,0.0,BU,1682700.0,3681500.0,False,0.0,14:28:09
25250.0,1500,-450.0,0.0,BU,1682200.0,3681500.0,False,50.0,14:28:09
25200.0,100,-500.0,0.0,SD,1680700.0,3681500.0,False,0.0,14:28:09
25200.0,100,-500.0,0.0,BU,1680700.0,3681400.0,False,0.0,14:28:06
25200.0,1000,-500.0,0.0,BU,1680600.0,3681400.0,False,0.0,14:28:06
25200.0,500,-500.0,0.0,BU,1679600.0,3681400.0,False,0.0,14:28:06
25200.0,1500,-500.0,0.0,BU,1679100.0,3681400.0,False,0.0,14:28:06
25200.0,1000,-500.0,0.0,BU,1677600.0,3681400.0,False,0.0,14:28:06
25200.0,200,-500.0,0.0,BU,1676600.0,3681400.0,False,0.0,14:28:06
25200.0,300,-500.0,0.0,BU,1676400.0,3681400.0,False,100.0,14:28:06
25100.0,300,-600.0,0.0,SD,1676100.0,3681400.0,False,0.0,14:27:53
25100.0,300,-600.0,0.0,SD,1676100.0,3681100.0,False,0.0,14:27:53
25100.0,500,-600.0,0.0,BU,1676100.0,3680800.0,False,0.0,14:27:49
25100.0,200,-600.0,0.0,BU,1675600.0,3680800.0,False,0.0,14:27:44
25100.0,600,-600.0,0.0,BU,1675400.0,3680800.0,False,50.0,14:27:41
25050.0,2000,-650.0,0.0,SD,1674800.0,3680800.0,False,0.0,14:27:39
25050.0,900,-650.0,0.0,BU,1674800.0,3678800.0,False,0.0,14:27:28
25050.0,1000,-650.0,0.0,BU,1673900.0,3678800.0,False,0.0,14:27:28
25050.0,1000,-650.0,0.0,BU,1672900.0,3678800.0,False,0.0,14:27:28
25050.0,2100,-650.0,0.0,BU,1671900.0,3678800.0,False,0.0,14:27:28
25050.0,100,-650.0,0.0,BU,1669800.0,3678800.0,False,50.0,14:27:25
25000.0,1000,-700.0,0.0,SD,1669700.0,3678800.0,False,-50.0,14:27:24
25050.0,100,-650.0,0.0,BU,1669700.0,3677800.0,False,0.0,14:27:16
25050.0,100,-650.0,0.0,BU,1669600.0,3677800.0,False,50.0,14:27:15
25000.0,5000,-700.0,0.0,SD,1669500.0,3677800.0,False,-50.0,14:27:11
25050.0,100,-650.0,0.0,BU,1669500.0,3672800.0,False,0.0,14:27:11
25050.0,100,-650.0,0.0,BU,1669400.0,3672800.0,False,0.0,14:27:08
25050.0,1000,-650.0,0.0,BU,1669300.0,3672800.0,False,0.0,14:27:06
25050.0,100,-650.0,0.0,BU,1668300.0,3672800.0,False,0.0,14:27:06
25050.0,1000,-650.0,0.0,BU,1668200.0,3672800.0,False,0.0,14:27:06
25050.0,300,-650.0,0.0,BU,1667200.0,3672800.0,False,50.0,14:27:06
25000.0,1000,-700.0,0.0,SD,1666900.0,3672800.0,False,0.0,14:26:40
25000.0,2000,-700.0,0.0,SD,1666900.0,3671800.0,False,0.0,14:26:36
25000.0,900,-700.0,0.0,SD,1666900.0,3669800.0,False,0.0,14:26:27
25000.0,1000,-700.0,0.0,BU,1666900.0,3668900.0,False,0.0,14:26:27
25000.0,600,-700.0,0.0,BU,1665900.0,3668900.0,False,0.0,14:26:27
25000.0,400,-700.0,0.0,BU,1665300.0,3668900.0,False,0.0,14:26:23
25000.0,300,-700.0,0.0,BU,1664900.0,3668900.0,False,0.0,14:26:23
25000.0,500,-700.0,0.0,BU,1664600.0,3668900.0,False,0.0,14:26:23
25000.0,200,-700.0,0.0,BU,1664100.0,3668900.0,False,0.0,14:26:23
25000.0,1000,-700.0,0.0,BU,1663900.0,3668900.0,False,0.0,14:26:23
25000.0,200,-700.0,0.0,BU,1662900.0,3668900.0,False,0.0,14:26:23
25000.0,400,-700.0,0.0,BU,1662700.0,3668900.0,False,0.0,14:26:23
25000.0,2000,-700.0,0.0,BU,1662300.0,3668900.0,False,150.0,14:26:23
24850.0,10000,-850.0,0.0,SD,1660300.0,3668900.0,True,0.0,14:26:23
24850.0,100,-850.0,0.0,SD,1660300.0,3658900.0,False,0.0,14:26:23
24850.0,1000,-850.0,0.0,SD,1660300.0,3658800.0,False,0.0,14:26:23
24850.0,6600,-850.0,0.0,SD,1660300.0,3657800.0,False,-50.0,14:26:23
24900.0,100,-800.0,0.0,SD,1660300.0,3651200.0,False,0.0,14:26:23
24900.0,100,-800.0,0.0,SD,1660300.0,3651100.0,False,0.0,14:26:23
24900.0,3000,-800.0,0.0,SD,1660300.0,3651000.0,False,0.0,14:26:23
24900.0,200,-800.0,0.0,SD,1660300.0,3648000.0,False,0.0,14:26:23
24900.0,200,-800.0,0.0,SD,1660300.0,3647800.0,False,0.0,14:26:23
24900.0,200,-800.0,0.0,SD,1660300.0,3647600.0,False,0.0,14:26:23
24900.0,4000,-800.0,0.0,SD,1660300.0,3647400.0,False,0.0,14:26:23
24900.0,1000,-800.0,0.0,SD,1660300.0,3643400.0,False,0.0,14:26:23
24900.0,3000,-800.0,0.0,SD,1660300.0,3642400.0,False,0.0,14:26:23
24900.0,100,-800.0,0.0,SD,1660300.0,3639400.0,False,-50.0,14:26:23
24950.0,1700,-750.0,0.0,SD,1660300.0,3639300.0,False,-50.0,14:26:23
25000.0,3200,-700.0,0.0,BU,1660300.0,3637600.0,False,0.0,14:26:18
25000.0,800,-700.0,0.0,BU,1657100.0,3637600.0,False,100.0,14:26:18
24900.0,300,-800.0,0.0,SD,1656300.0,3637600.0,False,0.0,14:26:12
24900.0,500,-800.0,0.0,SD,1656300.0,3637300.0,False,0.0,14:26:12
24900.0,3000,-800.0,0.0,SD,1656300.0,3636800.0,False,0.0,14:26:12
24900.0,10000,-800.0,0.0,SD,1656300.0,3633800.0,True,0.0,14:26:12
24900.0,1000,-800.0,0.0,SD,1656300.0,3623800.0,False,0.0,14:26:12
24900.0,1000,-800.0,0.0,SD,1656300.0,3622800.0,False,0.0,14:26:12
24900.0,2300,-800.0,0.0,SD,1656300.0,3621800.0,False,0.0,14:26:11
24900.0,100,-800.0,0.0,SD,1656300.0,3619500.0,False,0.0,14:26:11
24900.0,100,-800.0,0.0,SD,1656300.0,3619400.0,False,-50.0,14:26:11
24950.0,500,-750.0,0.0,BU,1656300.0,3619300.0,False,50.0,14:26:10
24900.0,900,-800.0,0.0,SD,1655800.0,3619300.0,False,0.0,14:26:00
24900.0,500,-800.0,0.0,SD,1655800.0,3618400.0,False,-50.0,14:26:00
24950.0,100,-750.0,0.0,BU,1655800.0,3617900.0,False,0.0,14:25:56
24950.0,300,-750.0,0.0,BU,1655700.0,3617900.0,False,0.0,14:25:56
24950.0,700,-750.0,0.0,BU,1655400.0,3617900.0,False,50.0,14:25:56
24900.0,1000,-800.0,0.0,SD,1654700.0,3617900.0,False,0.0,14:25:54
24900.0,500,-800.0,0.0,SD,1654700.0,3616900.0,False,0.0,14:25:54
24900.0,200,-800.0,0.0,SD,1654700.0,3616400.0,False,0.0,14:25:54
24900.0,100,-800.0,0.0,SD,1654700.0,3616200.0,False,0.0,14:25:54
24900.0,1100,-800.0,0.0,SD,1654700.0,3616100.0,False,-50.0,14:25:54
24950.0,100,-750.0,0.0,BU,1654700.0,3615000.0,False,0.0,14:25:52
24950.0,100,-750.0,0.0,BU,1654600.0,3615000.0,False,50.0,14:25:48
24900.0,900,-800.0,0.0,SD,1654500.0,3615000.0,False,-50.0,14:25:47
24950.0,1100,-750.0,0.0,SD,1654500.0,3614100.0,False,-50.0,14:25:36
25000.0,200,-700.0,0.0,BU,1654500.0,3613000.0,False,0.0,14:25:35
25000.0,800,-700.0,0.0,BU,1654300.0,3613000.0,False,50.0,14:25:35
24950.0,2000,-750.0,0.0,SD,1653500.0,3613000.0,False,0.0,14:25:33
24950.0,400,-750.0,0.0,SD,1653500.0,3611000.0,False,0.0,14:25:29
24950.0,100,-750.0,0.0,SD,1653500.0,3610600.0,False,-50.0,14:25:29
25000.0,1200,-700.0,0.0,BU,1653500.0,3610500.0,False,0.0,14:25:27
25000.0,800,-700.0,0.0,BU,1652300.0,3610500.0,False,150.0,14:25:27
24850.0,10000,-850.0,0.0,SD,1651500.0,3610500.0,True,0.0,14:25:14
24850.0,200,-850.0,0.0,SD,1651500.0,3600500.0,False,-50.0,14:25:14
24900.0,500,-800.0,0.0,SD,1651500.0,3600300.0,False,0.0,14:25:14
24900.0,100,-800.0,0.0,SD,1651500.0,3599800.0,False,50.0,14:25:14
24850.0,2200,-850.0,0.0,SD,1651500.0,3599700.0,False,0.0,14:25:10
24850.0,100,-850.0,0.0,SD,1651500.0,3597500.0,False,0.0,14:25:10
24850.0,100,-850.0,0.0,SD,1651500.0,3597400.0,False,0.0,14:25:10
24850.0,1000,-850.0,0.0,SD,1651500.0,3597300.0,False,0.0,14:25:10
24850.0,10000,-850.0,0.0,SD,1651500.0,3596300.0,True,0.0,14:25:10
24850.0,200,-850.0,0.0,SD,1651500.0,3586300.0,False,0.0,14:25:10
24850.0,1000,-850.0,0.0,SD,1651500.0,3586100.0,False,0.0,14:25:10
24850.0,700,-850.0,0.0,SD,1651500.0,3585100.0,False,0.0,14:25:10
24850.0,1000,-850.0,0.0,SD,1651500.0,3584400.0,False,0.0,14:25:10
24850.0,100,-850.0,0.0,SD,1651500.0,3583400.0,False,-50.0,14:25:10
24900.0,1000,-800.0,0.0,SD,1651500.0,3583300.0,False,0.0,14:25:10
24900.0,22600,-800.0,0.0,SD,1651500.0,3582300.0,True,0.0,14:25:10
24900.0,2400,-800.0,0.0,SD,1651500.0,3559700.0,False,0.0,14:25:09
24900.0,500,-800.0,0.0,SD,1651500.0,3557300.0,False,0.0,14:25:09
24900.0,100,-800.0,0.0,SD,1651500.0,3556800.0,False,0.0,14:25:09
24900.0,500,-800.0,0.0,SD,1651500.0,3556700.0,False,0.0,14:25:09
24900.0,500,-800.0,0.0,SD,1651500.0,3556200.0,False,-100.0,14:25:09
25000.0,300,-700.0,0.0,BU,1651500.0,3555700.0,False,100.0,14:25:02
24900.0,1500,-800.0,0.0,BU,1651200.0,3555700.0,False,0.0,14:24:59
24900.0,1000,-800.0,0.0,BU,1649700.0,3555700.0,False,0.0,14:24:57
24900.0,1000,-800.0,0.0,BU,1648700.0,3555700.0,False,0.0,14:24:57
24900.0,200,-800.0,0.0,BU,1647700.0,3555700.0,False,0.0,14:24:55
24900.0,700,-800.0,0.0,BU,1647500.0,3555700.0,False,0.0,14:24:53
24900.0,1000,-800.0,0.0,BU,1646800.0,3555700.0,False,0.0,14:24:52
24900.0,1000,-800.0,0.0,BU,1645800.0,3555700.0,False,-50.0,14:24:52
24950.0,2100,-750.0,0.0,SD,1644800.0,3555700.0,False,50.0,14:24:51
24900.0,1000,-800.0,0.0,SD,1644800.0,3553600.0,False,0.0,14:24:51
24900.0,200,-800.0,0.0,SD,1644800.0,3552600.0,False,-50.0,14:24:51
24950.0,200,-750.0,0.0,SD,1644800.0,3552400.0,False,0.0,14:24:51
24950.0,100,-750.0,0.0,SD,1644800.0,3552200.0,False,0.0,14:24:51
24950.0,200,-750.0,0.0,SD,1644800.0,3552100.0,False,0.0,14:24:49
24950.0,5500,-750.0,0.0,SD,1644800.0,3551900.0,False,-50.0,14:24:48
25000.0,200,-700.0,0.0,BU,1644800.0,3546400.0,False,50.0,14:24:47
24950.0,200,-750.0,0.0,SD,1644600.0,3546400.0,False,0.0,14:24:46
24950.0,2000,-750.0,0.0,BU,1644600.0,3546200.0,False,0.0,14:24:46
24950.0,100,-750.0,0.0,BU,1642600.0,3546200.0,False,100.0,14:24:46
24850.0,400,-850.0,0.0,SD,1642500.0,3546200.0,False,0.0,14:24:45
24850.0,300,-850.0,0.0,SD,1642500.0,3545800.0,False,0.0,14:24:45
24850.0,100,-850.0,0.0,SD,1642500.0,3545500.0,False,0.0,14:24:45
24850.0,1000,-850.0,0.0,SD,1642500.0,3545400.0,False,0.0,14:24:45
24850.0,1000,-850.0,0.0,SD,1642500.0,3544400.0,False,-50.0,14:24:45
24900.0,100,-800.0,0.0,SD,1642500.0,3543400.0,False,0.0,14:24:45
24900.0,200,-800.0,0.0,SD,1642500.0,3543300.0,False,0.0,14:24:45
24900.0,500,-800.0,0.0,SD,1642500.0,3543100.0,False,50.0,14:24:45
24850.0,1000,-850.0,0.0,SD,1642500.0,3542600.0,False,0.0,14:24:45
24850.0,200,-850.0,0.0,SD,1642500.0,3541600.0,False,0.0,14:24:45
24850.0,200,-850.0,0.0,SD,1642500.0,3541400.0,False,0.0,14:24:45
24850.0,100,-850.0,0.0,SD,1642500.0,3541200.0,False,0.0,14:24:45
24850.0,1000,-850.0,0.0,SD,1642500.0,3541100.0,False,0.0,14:24:45
24850.0,200,-850.0,0.0,SD,1642500.0,3540100.0,False,0.0,14:24:45
24850.0,400,-850.0,0.0,SD,1642500.0,3539900.0,False,0.0,14:24:45
24850.0,100,-850.0,0.0,SD,1642500.0,3539500.0,False,0.0,14:24:45
24850.0,5200,-850.0,0.0,SD,1642500.0,3539400.0,False,-100.0,14:24:45
24950.0,500,-750.0,0.0,BU,1642500.0,3534200.0,False,0.0,14:24:41
24950.0,100,-750.0,0.0,BU,1642000.0,3534200.0,False,-50.0,14:24:37
25000.0,500,-700.0,0.0,BU,1641900.0,3534200.0,False,100.0,14:24:36
24900.0,100,-800.0,0.0,BU,1641400.0,3534200.0,False,-100.0,14:24:32
25000.0,100,-700.0,0.0,BU,1641300.0,3534200.0,False,0.0,14:24:29
25000.0,100,-700.0,0.0,BU,1641200.0,3534200.0,False,50.0,14:24:29
24950.0,500,-750.0,0.0,BU,1641100.0,3534200.0,False,0.0,14:24:29
24950.0,300,-750.0,0.0,BU,1640600.0,3534200.0,False,0.0,14:24:29
24950.0,1000,-750.0,0.0,BU,1640300.0,3534200.0,False,0.0,14:24:28
24950.0,1000,-750.0,0.0,BU,1639300.0,3534200.0,False,50.0,14:24:28
24900.0,100,-800.0,0.0,SD,1638300.0,3534200.0,False,-50.0,14:24:25
24950.0,5000,-750.0,0.0,BU,1638300.0,3534100.0,False,0.0,14:24:25
24950.0,2000,-750.0,0.0,BU,1633300.0,3534100.0,False,100.0,14:24:23
24850.0,6400,-850.0,0.0,SD,1631300.0,3534100.0,False,-100.0,14:24:22
24950.0,100,-750.0,0.0,SD,1631300.0,3527700.0,False,0.0,14:24:21
24950.0,900,-750.0,0.0,SD,1631300.0,3527600.0,False,100.0,14:24:21
24850.0,200,-850.0,0.0,SD,1631300.0,3526700.0,False,-50.0,14:24:19
24900.0,100,-800.0,0.0,BU,1631300.0,3526500.0,False,0.0,14:24:19
24900.0,3000,-800.0,0.0,BU,1631200.0,3526500.0,False,0.0,14:24:19
24900.0,300,-800.0,0.0,BU,1628200.0,3526500.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,BU,1627900.0,3526500.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,BU,1627800.0,3526500.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,BU,1627700.0,3526500.0,False,0.0,14:24:19
24900.0,600,-800.0,0.0,BU,1627600.0,3526500.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,BU,1627000.0,3526500.0,False,0.0,14:24:19
24900.0,1300,-800.0,0.0,BU,1626900.0,3526500.0,False,0.0,14:24:19
24900.0,4000,-800.0,0.0,BU,1625600.0,3526500.0,False,0.0,14:24:19
24900.0,400,-800.0,0.0,BU,1621600.0,3526500.0,False,0.0,14:24:19
24900.0,1000,-800.0,0.0,BU,1621200.0,3526500.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,SD,1620200.0,3526500.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,SD,1620200.0,3526400.0,False,0.0,14:24:19
24900.0,100,-800.0,0.0,SD,1620200.0,3526300.0,False,0.0,14:24:19
24900.0,1000,-800.0,0.0,SD,1620200.0,3526200.0,False,0.0,14:24:19
24900.0,2000,-800.0,0.0,SD,1620200.0,3525200.0,False,0.0,14:24:19
24900.0,1900,-800.0,0.0,SD,1620200.0,3523200.0,False,-50.0,14:24:19
24950.0,1000,-750.0,0.0,SD,1620200.0,3521300.0,False,0.0,14:24:19
24950.0,1000,-750.0,0.0,SD,1620200.0,3520300.0,False,0.0,14:24:19
24950.0,1200,-750.0,0.0,SD,1620200.0,3519300.0,False,0.0,14:24:19
24950.0,1000,-750.0,0.0,SD,1620200.0,3518100.0,False,0.0,14:24:19
24950.0,500,-750.0,0.0,SD,1620200.0,3517100.0,False,0.0,14:24:19
24950.0,1800,-750.0,0.0,SD,1620200.0,3516600.0,False,-50.0,14:24:19
25000.0,100,-700.0,0.0,BU,1620200.0,3514800.0,False,0.0,14:24:17
25000.0,400,-700.0,0.0,BU,1620100.0,3514800.0,False,50.0,14:24:17
24950.0,400,-750.0,0.0,SD,1619700.0,3514800.0,False,0.0,14:24:17
24950.0,400,-750.0,0.0,SD,1619700.0,3514400.0,False,-50.0,14:24:17
25000.0,500,-700.0,0.0,BU,1619700.0,3514000.0,False,0.0,14:24:15
25000.0,300,-700.0,0.0,BU,1619200.0,3514000.0,False,50.0,14:24:14
24950.0,500,-750.0,0.0,SD,1618900.0,3514000.0,False,-50.0,14:24:10
25000.0,200,-700.0,0.0,BU,1618900.0,3513500.0,False,0.0,14:24:06
25000.0,300,-700.0,0.0,BU,1618700.0,3513500.0,False,0.0,14:24:06
25000.0,300,-700.0,0.0,BU,1618400.0,3513500.0,False,0.0,14:24:06
25000.0,200,-700.0,0.0,BU,1618100.0,3513500.0,False,0.0,14:24:06
25000.0,100,-700.0,0.0,BU,1617900.0,3513500.0,False,0.0,14:24:06
25000.0,200,-700.0,0.0,BU,1617800.0,3513500.0,False,0.0,14:24:06
25000.0,400,-700.0,0.0,BU,1617600.0,3513500.0,False,0.0,14:24:06
25000.0,1300,-700.0,0.0,BU,1617200.0,3513500.0,False,0.0,14:24:06
25000.0,100,-700.0,0.0,BU,1615900.0,3513500.0,False,0.0,14:24:00
25000.0,500,-700.0,0.0,BU,1615800.0,3513500.0,False,50.0,14:23:55
